,player_id,match_id,team_id,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received
8,7f3b388c,59ef8c18,822bd0ba,DM,27-330,90,68,4,17,43,12,2,67,0,0,,0,0,40,148,94,3,0,1,2,1,42,42,100.0,2
9,f315ca93,59ef8c18,822bd0ba,LB,25-129,90,66,5,17,21,31,4,54,0,3,0.0,0,1,31,144,60,5,1,1,0,1,40,37,92.5,7
10,e06683ca,59ef8c18,822bd0ba,CB,30-072,90,70,12,39,30,4,4,68,0,0,,0,0,32,187,100,3,0,0,1,0,50,50,100.0,2
11,5ed9b537,59ef8c18,822bd0ba,CB,22-116,90,64,10,30,34,1,0,63,0,0,,0,0,44,159,101,5,0,0,0,0,47,46,97.9,1
12,2f90f6b8,59ef8c18,822bd0ba,RB,35-257,90,108,9,30,36,47,2,88,1,2,50.0,1,0,53,252,175,11,5,0,1,0,54,49,90.7,2
13,7a2e46a8,59ef8c18,822bd0ba,GK,28-351,90,36,32,36,0,0,0,28,0,0,,0,0,13,48,22,0,0,0,0,0,12,12,100.0,0
0,ab070c55,59ef8c18,47c64c55,FW,30-289,64,19,4,7,5,8,5,18,0,0,,0,0,7,81,61,1,0,1,2,0,34,11,32.4,4
1,0562b7f1,59ef8c18,47c64c55,FW,23-245,26,13,1,1,6,6,3,11,0,0,,0,0,8,35,32,2,0,1,2,1,12,7,58.3,3
2,b2bc3b1f,59ef8c18,47c64c55,LW,28-312,90,40,1,7,15,21,9,40,3,5,60.0,3,0,38,186,115,3,1,2,3,5,55,25,45.5,4
3,da052c14,59ef8c18,47c64c55,RW,30-007,90,47,1,7,23,23,4,46,1,1,100.0,1,0,35,276,143,8,3,2,3,3,32,28,87.5,6
4,cee31595,59ef8c18,47c64c55,CM,33-346,64,36,2,10,14,12,1,33,1,3,33.3,1,1,20,44,11,0,0,0,2,0,21,18,85.7,0
5,7a1f2c08,59ef8c18,47c64c55,"CM,DM",25-009,26,22,0,5,13,9,1,22,0,1,0.0,0,0,16,83,38,2,2,0,0,1,12,12,100.0,1
6,c2731c10,59ef8c18,47c64c55,CM,21-224,90,46,3,7,23,16,4,36,0,1,0.0,0,0,23,60,14,1,0,0,1,2,26,21,80.8,2
7,8d3c902d,59ef8c18,47c64c55,DM,31-271,81,28,3,13,11,4,0,26,0,0,,0,0,16,55,19,1,0,0,1,2,13,13,100.0,0
8,c4486bac,59ef8c18,47c64c55,CM,19-280,9,7,0,0,5,3,1,7,1,1,100.0,1,0,5,37,8,1,1,0,0,1,6,5,83.3,1
9,5cbd1eb0,59ef8c18,47c64c55,LB,22-017,90,78,6,41,30,12,0,63,0,0,,0,0,35,112,63,1,1,0,1,0,37,35,94.6,2
10,d0706b27,59ef8c18,47c64c55,CB,21-067,90,45,10,32,14,0,0,43,0,0,,0,0,28,97,50,0,0,0,0,0,28,28,100.0,0
11,e34fc66d,59ef8c18,47c64c55,CB,25-110,90,54,13,36,18,3,0,52,0,0,,0,0,31,196,96,2,0,0,0,0,34,33,97.1,0
12,8a7ff278,59ef8c18,47c64c55,RB,31-324,90,46,7,21,17,12,0,40,0,0,,0,0,18,127,65,2,2,0,0,0,21,20,95.2,0
13,ab13a5aa,59ef8c18,47c64c55,GK,34-251,90,32,30,32,0,0,0,24,0,0,,0,0,10,27,18,0,0,0,0,0,11,11,100.0,0
0,0745b37d,835fa19c,1c781004,FW,31-173,90,26,0,1,7,18,9,23,0,0,,0,0,15,33,9,1,0,1,2,1,38,20,52.6,10
1,6c6a3300,835fa19c,1c781004,LW,25-082,87,32,0,5,10,19,3,29,1,3,33.3,1,1,18,96,38,2,1,0,0,2,28,22,78.6,6
2,291e3ec3,835fa19c,1c781004,LW,20-191,3,3,0,0,3,0,0,3,1,1,100.0,1,0,3,10,6,1,0,0,0,0,2,2,100.0,0
3,a8d4428b,835fa19c,1c781004,RW,21-210,69,32,0,2,15,17,6,32,1,1,100.0,1,0,23,79,47,4,2,0,5,2,34,24,70.6,8
4,9f333379,835fa19c,1c781004,RW,19-231,21,10,0,1,7,4,1,10,0,0,,0,0,4,27,26,1,1,0,0,0,12,7,58.3,3
5,471f16b3,835fa19c,1c781004,CM,29-253,90,45,3,13,26,11,2,44,1,2,50.0,1,0,30,148,67,3,3,0,1,2,34,32,94.1,2
6,df10e27c,835fa19c,1c781004,CM,20-099,90,66,4,19,35,17,1,57,1,2,50.0,2,0,37,255,153,5,3,0,0,1,38,35,92.1,2
7,8996350d,835fa19c,1c781004,DM,25-113,69,43,2,13,22,9,0,39,0,0,,0,0,17,74,40,1,0,0,0,0,19,18,94.7,0
8,f63d8a4b,835fa19c,1c781004,DM,23-203,21,15,0,0,11,4,0,15,0,0,,0,0,10,65,33,3,0,0,1,0,15,13,86.7,3
9,5e74d6c8,835fa19c,1c781004,LB,21-015,90,52,6,19,14,23,5,49,1,3,33.3,1,0,28,155,111,5,2,0,2,1,30,28,93.3,6
10,e9254eec,835fa19c,1c781004,CB,29-302,90,53,5,30,27,0,0,51,0,0,,0,0,27,157,104,2,0,0,0,1,35,33,94.3,0
11,2d61d13a,835fa19c,1c781004,CB,21-177,90,63,7,36,31,1,0,61,0,0,,0,0,34,220,138,2,0,0,0,1,40,40,100.0,0
12,774cf58b,835fa19c,1c781004,RB,21-257,90,59,3,19,28,15,1,44,4,6,66.7,4,0,36,143,72,4,2,0,1,0,37,33,89.2,3
13,f23f9d20,835fa19c,1c781004,GK,33-168,90,34,27,34,0,0,0,29,0,0,,0,0,15,52,40,0,0,0,0,0,17,17,100.0,0
0,43458538,835fa19c,2abfe087,FW,29-246,90,25,1,3,12,13,5,24,1,2,50.0,1,0,16,96,72,4,2,0,2,0,36,18,50.0,7
1,2c44a35d,835fa19c,2abfe087,LW,23-307,72,33,0,2,13,18,5,33,1,5,20.0,2,1,19,80,42,2,0,1,2,0,29,24,82.8,6
2,1770bd68,835fa19c,2abfe087,LW,27-353,18,10,0,2,5,4,1,9,2,2,100.0,2,1,9,6,2,0,0,0,2,1,11,7,63.6,1
3,bfdb33aa,835fa19c,2abfe087,RW,23-205,90,45,1,7,20,28,7,45,6,6,100.0,6,1,39,313,240,10,7,2,2,3,48,37,77.1,9
4,6cdd8245,835fa19c,2abfe087,AM,32-037,81,52,1,8,25,20,0,42,0,0,,0,0,29,112,40,1,0,0,0,2,33,30,90.9,1
5,b579e83d,835fa19c,2abfe087,AM,25-313,9,8,0,1,8,1,0,7,0,0,,0,0,7,56,38,1,1,0,0,0,6,6,100.0,0
6,2acd49b9,835fa19c,2abfe087,DM,32-033,90,41,0,11,25,5,0,40,1,1,100.0,1,0,29,102,56,1,0,0,0,0,29,27,93.1,0
7,5aaef9ef,835fa19c,2abfe087,DM,34-204,90,53,2,20,29,8,1,52,0,2,0.0,0,1,23,91,49,3,0,0,1,1,34,28,82.4,0
8,89d10e53,835fa19c,2abfe087,LB,31-078,90,68,5,19,35,17,1,51,2,2,100.0,2,0,32,110,70,5,0,0,1,4,35,32,91.4,1
9,89e4b358,835fa19c,2abfe087,CB,32-224,90,57,10,34,23,3,1,57,0,0,,0,0,37,152,48,1,0,0,0,0,36,36,100.0,0
10,7ed4921e,835fa19c,2abfe087,CB,28-017,90,49,8,24,26,1,1,49,0,0,,0,0,32,205,141,2,0,0,0,0,34,34,100.0,0
11,e5d01ecf,835fa19c,2abfe087,RB,30-228,58,40,2,9,19,14,1,36,1,1,100.0,1,0,32,232,138,6,1,1,0,1,30,30,100.0,2
12,3631ad41,835fa19c,2abfe087,RB,21-011,32,21,2,10,7,6,0,19,1,1,100.0,1,0,15,64,48,2,1,0,0,0,12,12,100.0,0
13,d0b3ceb9,835fa19c,2abfe087,GK,38-168,90,33,26,32,1,0,0,23,0,0,,0,0,13,67,39,0,0,0,0,0,15,15,100.0,0
0,4e9a0555,a427debc,943e8050,FW,29-285,81,24,0,1,7,16,4,24,0,0,,0,0,10,32,7,1,0,0,3,2,40,19,47.5,8
1,4ab53cdb,a427debc,943e8050,FW,32-051,9,4,0,0,2,3,1,4,0,0,,0,0,2,0,0,0,0,0,0,0,8,4,50.0,1
2,2691c772,a427debc,943e8050,FW,31-323,56,25,0,1,11,14,6,24,0,0,,0,0,19,65,39,2,1,0,2,1,25,17,68.0,5
3,0d4ceb32,a427debc,943e8050,FW,29-140,34,11,1,1,0,10,3,11,0,2,0.0,0,0,3,3,0,0,0,0,1,0,14,7,50.0,3
4,fc15fb84,a427debc,943e8050,"LM,RM",21-300,90,54,0,2,23,30,2,51,1,2,50.0,1,0,45,242,131,8,0,1,1,2,40,35,87.5,4
5,f72293fc,a427debc,943e8050,RM,30-326,56,27,1,3,9,15,6,27,0,0,,0,0,18,71,13,1,0,0,1,0,20,16,80.0,1
6,beb391dd,a427debc,943e8050,LM,24-356,34,26,0,5,15,10,2,26,0,0,,0,0,15,75,38,2,2,0,1,2,25,15,60.0,0
7,47369df8,a427debc,943e8050,DM,25-273,90,51,3,12,25,19,2,51,2,2,100.0,2,0,32,148,86,7,2,0,0,1,36,34,94.4,2
8,495945ef,a427debc,943e8050,DM,31-170,90,72,2,8,39,30,4,64,0,0,,0,0,42,194,100,5,3,0,0,1,45,43,95.6,2
9,cc2d7ad5,a427debc,943e8050,LB,28-000,90,71,1,17,36,22,1,58,0,0,,0,0,34,188,63,3,1,0,1,0,38,38,100.0,3
10,8df7a2fb,a427debc,943e8050,CB,31-360,90,62,3,22,39,5,4,61,0,0,,0,0,37,182,111,2,0,0,0,0,41,40,97.6,0
11,15ea812b,a427debc,943e8050,CB,28-303,90,55,4,16,32,10,3,53,0,0,,0,0,24,122,56,3,1,0,1,0,29,29,100.0,1
12,9a9c05db,a427debc,943e8050,RB,32-101,90,55,4,14,23,19,0,46,0,0,,0,0,24,101,58,3,1,0,0,1,29,29,100.0,2
13,4b40d9ca,a427debc,943e8050,GK,29-152,90,33,24,32,2,0,0,23,0,0,,0,0,13,107,68,0,0,0,0,0,8,8,100.0,0
0,d5dd5f1f,a427debc,18bb7c10,FW,32-092,90,29,0,2,12,17,2,29,0,0,,0,0,23,149,103,5,2,2,1,0,44,24,54.5,4
1,bc7dc64d,a427debc,18bb7c10,LM,20-013,90,51,0,8,26,24,4,51,1,1,100.0,1,1,38,228,179,8,4,2,6,3,48,40,83.3,8
2,79300479,a427debc,18bb7c10,CM,22-275,90,70,2,17,34,22,0,65,0,0,,0,0,54,228,94,6,1,0,1,1,54,53,98.1,1
3,17695062,a427debc,18bb7c10,CM,21-052,60,43,0,5,28,12,2,43,0,0,,0,0,38,167,120,3,2,0,1,3,39,37,94.9,3
4,1b4f1169,a427debc,18bb7c10,CM,21-331,30,34,3,16,14,5,0,33,0,0,,0,0,17,85,59,1,0,0,0,0,17,16,94.1,1
5,57e3f0c7,a427debc,18bb7c10,RM,26-112,90,53,2,11,22,23,6,50,0,1,0.0,0,0,38,158,95,5,1,2,2,4,40,37,92.5,3
6,529f49ab,a427debc,18bb7c10,DM,28-097,74,62,4,25,37,8,1,58,1,1,100.0,1,0,43,278,163,4,1,0,0,0,42,42,100.0,0
7,e3a5814e,a427debc,18bb7c10,DM,24-020,16,19,0,4,15,1,0,19,0,1,0.0,0,0,13,48,20,0,0,0,0,0,13,13,100.0,0
8,fce2302c,a427debc,18bb7c10,LB,24-105,77,43,5,16,14,15,2,41,0,0,,0,0,28,118,88,4,1,1,1,0,25,25,100.0,6
9,a65c844b,a427debc,18bb7c10,LB,21-235,13,17,2,8,8,4,1,16,1,2,50.0,1,0,11,32,13,1,1,0,0,1,9,9,100.0,2
10,67ac5bb8,a427debc,18bb7c10,CB,23-273,90,62,14,45,18,0,0,62,0,0,,0,0,42,181,99,1,0,0,0,0,44,43,97.7,0
11,35e413f1,a427debc,18bb7c10,CB,23-345,90,74,13,54,22,0,0,74,0,1,0.0,0,0,49,137,53,0,0,0,0,0,54,54,100.0,0
12,b3af9be1,a427debc,18bb7c10,RB,22-317,90,79,10,34,40,8,0,67,0,0,,0,0,40,151,105,3,1,0,1,1,38,37,97.4,3
13,466fb2c5,a427debc,18bb7c10,GK,23-127,90,52,46,52,0,0,0,41,0,0,,0,0,30,142,85,0,0,0,0,0,20,19,95.0,0
0,aed3a70f,57323feb,8602292d,FW,25-262,90,23,0,0,4,20,5,23,0,0,,0,0,14,51,29,2,1,1,2,1,52,21,40.4,11
1,07802f7f,57323feb,8602292d,FW,29-057,90,31,0,2,15,17,5,31,5,7,71.4,6,0,22,82,57,3,2,0,3,2,32,20,62.5,8
2,1544f145,57323feb,8602292d,"CM,LM",20-113,90,41,0,4,23,20,2,41,0,0,,0,0,30,232,135,8,2,0,1,2,41,33,80.5,6
3,90f91999,57323feb,8602292d,CM,26-335,39,25,2,2,16,8,0,24,1,3,33.3,1,0,16,46,14,1,0,0,0,2,16,13,81.3,1
4,de5b5570,57323feb,8602292d,"DM,CM",27-242,51,25,0,4,19,4,0,25,0,0,,0,0,17,100,24,0,1,0,0,1,11,10,90.9,0
5,6f7d826d,57323feb,8602292d,"DM,CM",23-132,90,54,2,9,30,19,0,47,1,3,33.3,1,0,29,187,106,5,2,0,0,2,32,29,90.6,2
6,e514ab62,57323feb,8602292d,WB,26-000,60,48,1,7,19,25,1,45,0,0,,0,0,32,116,67,4,2,0,1,0,40,35,87.5,10
7,3a233281,57323feb,8602292d,WB,24-040,21,11,0,1,3,7,1,8,0,0,,0,0,6,71,47,2,0,1,0,0,7,7,100.0,2
8,be927d03,57323feb,8602292d,"WB,LB",36-071,9,10,0,0,6,4,0,8,0,0,,0,0,6,16,1,0,0,0,0,0,6,6,100.0,0
9,2389cdc2,57323feb,8602292d,WB,24-042,85,46,3,9,23,17,5,39,2,4,50.0,2,0,25,170,49,3,1,1,0,0,26,22,84.6,2
10,c47541e0,57323feb,8602292d,RM,26-012,5,11,0,1,5,5,0,11,1,3,33.3,1,1,7,19,10,0,0,0,0,0,10,7,70.0,1
11,8397a50c,57323feb,8602292d,CB,28-189,90,72,10,31,35,12,4,69,0,0,,0,0,40,238,126,3,3,0,0,0,52,48,92.3,1
12,2baec6ce,57323feb,8602292d,CB,23-308,90,51,7,25,27,2,1,49,0,0,,0,0,27,128,61,1,0,0,0,0,36,35,97.2,0
13,0313a347,57323feb,8602292d,"CB,RB",23-330,90,40,1,13,26,3,1,38,0,0,,0,0,23,115,56,1,0,0,0,0,26,24,92.3,1
14,7956236f,57323feb,8602292d,GK,29-016,90,41,36,41,1,0,0,27,0,0,,0,0,19,99,64,0,0,0,0,0,14,14,100.0,0
0,b318a643,57323feb,d3fd31cc,FW,32-002,62,17,0,1,12,4,2,17,0,0,,0,0,7,26,11,0,0,0,0,1,39,15,38.5,1
1,1961b2aa,57323feb,d3fd31cc,"AM,DM",28-050,28,11,0,3,5,3,1,11,0,0,,0,0,3,12,9,1,0,0,0,0,8,5,62.5,0
2,4468ec10,57323feb,d3fd31cc,"AM,FW,LM",25-082,90,36,0,8,13,20,3,34,2,4,50.0,2,1,32,214,123,6,3,2,3,2,49,28,57.1,7
3,6ca5ec4b,57323feb,d3fd31cc,"LM,FW",25-138,80,32,2,4,14,16,3,29,1,2,50.0,1,0,25,233,156,4,1,2,1,1,28,20,71.4,2
4,9228b07c,57323feb,d3fd31cc,DM,23-080,10,12,0,3,8,1,0,12,0,0,,0,0,6,21,15,0,0,0,0,0,11,10,90.9,0
5,b28bbd58,57323feb,d3fd31cc,RM,30-064,90,44,1,12,16,22,3,41,1,2,50.0,2,0,27,259,190,6,3,1,2,1,35,25,71.4,4
6,cc700722,57323feb,d3fd31cc,DM,30-253,71,38,3,12,22,5,0,36,0,1,0.0,0,0,24,95,60,3,1,0,0,1,22,21,95.5,0
7,2bd83368,57323feb,d3fd31cc,LM,20-206,19,4,0,0,2,2,1,4,0,0,,0,0,2,8,2,0,0,0,1,0,5,3,60.0,0
8,02b29014,57323feb,d3fd31cc,DM,28-260,90,51,3,20,27,9,0,51,1,2,50.0,1,0,26,122,47,2,2,0,2,0,30,24,80.0,1
9,1b84dbe1,57323feb,d3fd31cc,LB,28-060,90,62,3,27,27,14,1,49,1,1,100.0,1,0,25,277,204,6,2,1,0,0,29,28,96.6,1
10,c5b7c315,57323feb,d3fd31cc,CB,28-250,90,40,9,32,6,2,2,39,0,0,,0,0,16,79,21,0,0,0,0,0,20,20,100.0,0
11,6d5701f2,57323feb,d3fd31cc,CB,26-360,90,35,11,27,10,1,1,34,0,0,,0,0,17,135,58,0,0,0,0,0,16,16,100.0,0
12,9f7c837d,57323feb,d3fd31cc,RB,23-246,79,40,2,19,17,7,0,30,0,0,,0,0,14,109,53,3,1,0,1,1,17,14,82.4,2
13,099e666f,57323feb,d3fd31cc,RB,24-187,11,4,0,2,2,0,0,3,0,0,,0,0,2,13,9,1,0,0,0,0,2,2,100.0,0
14,7b4de647,57323feb,d3fd31cc,GK,34-090,90,25,24,25,0,0,0,12,0,0,,0,0,5,24,16,0,0,0,0,0,8,8,100.0,0
0,5a04fd92,2daea068,7c21e445,FW,26-040,87,51,0,7,26,20,1,50,2,2,100.0,2,0,39,134,79,2,1,1,3,2,42,38,90.5,7
1,26f6dca8,2daea068,7c21e445,FW,28-216,3,3,0,0,3,0,0,2,0,0,,0,0,2,36,20,1,0,0,0,0,2,2,100.0,0
2,79c84d1c,2daea068,7c21e445,FW,24-273,89,30,1,5,11,16,5,27,2,4,50.0,2,0,17,108,63,2,0,0,1,2,37,19,51.4,5
3,ff527768,2daea068,7c21e445,FW,34-134,1,1,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
4,aa8e289e,2daea068,7c21e445,LM,23-350,67,28,1,6,17,7,2,28,2,3,66.7,2,1,21,141,73,3,0,0,1,0,27,20,74.1,3
5,849c826a,2daea068,7c21e445,LM,31-331,23,13,0,2,3,8,2,13,0,1,0.0,0,0,7,14,5,0,0,0,1,1,17,9,52.9,3
6,82927de4,2daea068,7c21e445,RM,25-209,90,52,2,15,20,19,4,52,0,1,0.0,0,0,29,126,38,3,1,0,0,4,40,35,87.5,8
7,1c7012b8,2daea068,7c21e445,DM,22-248,90,67,3,27,45,8,0,66,0,0,,0,0,49,526,285,8,5,0,0,0,54,51,94.4,0
8,6613c819,2daea068,7c21e445,DM,26-204,90,63,8,24,29,11,3,62,0,0,,0,0,31,103,32,1,1,0,0,0,36,34,94.4,1
9,4f974391,2daea068,7c21e445,LB,31-278,90,61,4,21,31,15,1,55,0,0,,0,0,38,205,124,7,4,0,0,1,49,45,91.8,2
10,74b2cd7e,2daea068,7c21e445,CB,33-119,90,45,15,30,15,0,0,45,0,0,,0,0,27,123,37,0,0,0,0,0,31,29,93.5,0
11,ce4246f5,2daea068,7c21e445,CB,26-327,90,40,16,26,16,0,0,38,0,0,,0,0,19,121,59,3,0,0,0,0,18,16,88.9,0
12,fdf3cb77,2daea068,7c21e445,RB,29-028,90,58,5,18,26,15,1,48,2,2,100.0,2,0,37,180,80,2,0,1,1,1,38,34,89.5,5
13,9328b835,2daea068,7c21e445,GK,36-154,90,30,29,30,0,0,0,19,0,0,,0,0,3,13,7,0,0,0,0,0,8,8,100.0,0
0,dea698d9,2daea068,19538871,FW,36-226,90,45,1,2,20,23,13,44,0,3,0.0,1,0,31,91,52,5,0,1,1,2,53,39,73.6,10
1,867239d3,2daea068,19538871,LW,28-188,72,50,1,6,31,18,2,50,7,9,77.8,8,0,40,127,78,7,1,1,2,2,48,41,85.4,4
2,810e3c74,2daea068,19538871,RW,28-278,18,16,0,1,6,9,1,16,0,0,,0,0,14,105,62,2,0,0,0,0,19,15,78.9,3
3,58eee997,2daea068,19538871,RW,19-353,72,47,0,2,19,29,1,46,1,1,100.0,1,0,33,217,112,9,3,0,1,1,47,38,80.9,6
4,dbf053da,2daea068,19538871,LW,21-178,18,22,0,0,12,12,0,22,0,0,,0,0,15,89,67,3,2,0,0,0,23,21,91.3,4
5,507c7bdf,2daea068,19538871,AM,27-011,90,87,0,7,31,52,6,83,1,3,33.3,2,0,55,234,148,8,1,2,0,2,80,69,86.3,12
6,b853e0ad,2daea068,19538871,DM,28-198,87,89,3,21,53,19,0,89,0,1,0.0,0,0,56,239,117,2,0,0,1,0,63,62,98.4,0
7,eb7822d7,2daea068,19538871,DM,33-049,3,8,0,2,3,4,0,8,1,1,100.0,1,0,7,35,20,1,1,0,0,0,7,7,100.0,0
8,d93c2511,2daea068,19538871,DM,24-285,90,68,3,12,42,21,3,68,2,2,100.0,2,0,52,304,193,13,6,0,1,1,60,56,93.3,4
9,9c94165b,2daea068,19538871,LB,26-069,90,77,2,8,25,45,1,62,0,0,,0,0,53,188,100,6,0,0,1,0,54,51,94.4,5
10,d8931174,2daea068,19538871,CB,28-198,90,58,9,33,23,5,2,56,1,1,100.0,1,0,31,172,87,2,0,0,1,0,36,36,100.0,0
11,9f8e9423,2daea068,19538871,CB,28-147,90,94,9,46,57,8,0,92,0,1,0.0,0,0,61,690,421,8,4,0,0,0,70,69,98.6,0
12,9e525177,2daea068,19538871,RB,23-297,90,83,6,19,39,31,1,78,5,6,83.3,5,2,67,218,124,10,4,0,0,3,66,63,95.5,3
13,7ba6d84e,2daea068,19538871,GK,30-316,90,25,23,25,0,0,0,16,0,0,,0,0,12,70,42,0,0,0,1,0,8,8,100.0,0
0,4bcf39f6,723f5105,d07537b9,FW,25-036,90,36,1,7,17,14,3,33,2,7,28.6,3,0,22,78,43,4,1,0,2,1,47,26,55.3,7
1,38ceb24a,723f5105,d07537b9,"FW,AM",26-289,90,46,1,9,22,18,4,41,2,3,66.7,2,0,32,204,90,4,1,0,2,3,43,34,79.1,6
2,ce5143da,723f5105,d07537b9,LM,30-297,69,24,1,4,6,15,5,24,0,0,,0,0,15,89,51,5,1,1,1,3,29,16,55.2,5
3,b2d31e83,723f5105,d07537b9,CB,29-133,21,9,3,6,3,0,0,8,0,0,,0,0,2,3,0,0,0,0,0,0,6,3,50.0,0
4,bb5fbd2b,723f5105,d07537b9,RM,27-061,61,24,2,4,11,11,1,21,1,2,50.0,1,0,12,44,10,1,1,0,1,1,19,14,73.7,2
5,1d5cab82,723f5105,d07537b9,"AM,RM",23-261,29,14,3,8,3,4,0,14,0,2,0.0,0,0,8,25,18,1,1,0,0,0,7,6,85.7,0
6,99813635,723f5105,d07537b9,DM,33-132,90,57,5,26,25,10,3,57,2,2,100.0,2,0,33,155,73,3,1,1,2,0,33,29,87.9,2
7,6c203af0,723f5105,d07537b9,DM,25-020,78,33,6,17,12,5,1,31,0,0,,0,0,13,86,27,1,0,0,1,0,20,16,80.0,1
8,f230bc30,723f5105,d07537b9,DM,22-165,12,10,2,5,4,1,0,10,0,2,0.0,0,0,4,2,2,0,0,0,0,1,8,6,75.0,0
9,1daec722,723f5105,d07537b9,"LB,WB",23-059,90,65,4,23,29,17,1,56,3,6,50.0,3,1,37,211,126,3,2,0,2,0,47,38,80.9,1
10,282f75f3,723f5105,d07537b9,CB,29-302,90,42,5,25,17,2,0,41,1,1,100.0,1,0,19,62,15,0,0,0,0,1,27,26,96.3,0
11,7314bba4,723f5105,d07537b9,CB,29-261,90,43,10,32,10,3,2,43,0,0,,0,0,23,102,39,1,1,0,0,0,28,27,96.4,0
12,dad4b285,723f5105,d07537b9,"RB,WB",29-247,90,50,8,28,15,10,0,45,1,1,100.0,1,0,25,91,18,1,0,0,0,0,23,20,87.0,0
13,6a713852,723f5105,d07537b9,GK,23-305,90,32,27,32,0,0,0,21,0,0,,0,0,12,40,12,0,0,0,0,0,15,15,100.0,0
0,45963054,723f5105,a2d435b3,FW,34-251,90,20,0,1,5,15,6,17,0,0,,0,0,10,77,68,2,1,1,1,0,24,14,58.3,7
1,3ea50f67,723f5105,a2d435b3,"LW,LM",23-284,90,61,1,5,19,40,6,60,1,3,33.3,1,1,48,293,198,11,3,1,0,5,51,45,88.2,9
2,ee38d9c5,723f5105,a2d435b3,RW,24-300,45,19,0,1,11,9,0,19,0,1,0.0,0,0,14,91,45,3,2,0,0,1,21,16,76.2,3
3,7c104bb7,723f5105,a2d435b3,"RW,RM",23-334,45,29,0,0,7,22,10,29,1,2,50.0,1,0,21,89,40,5,0,2,1,1,26,23,88.5,12
4,ae59b359,723f5105,a2d435b3,CM,22-204,74,49,1,5,24,23,0,49,2,2,100.0,2,0,36,152,49,3,0,0,4,3,37,34,91.9,3
5,c92e1a31,723f5105,a2d435b3,FW,24-351,16,8,0,0,1,7,1,7,0,0,,0,0,7,15,9,1,0,0,1,0,11,6,54.5,0
6,56f7a928,723f5105,a2d435b3,"CM,DM",24-135,90,83,3,7,47,31,5,77,0,1,0.0,0,0,60,197,112,9,0,1,2,2,70,64,91.4,3
7,6b47c5db,723f5105,a2d435b3,DM,24-277,90,69,2,10,47,16,1,68,0,0,,0,0,48,278,113,6,2,0,0,0,49,48,98.0,1
8,01226327,723f5105,a2d435b3,LB,32-045,67,52,2,13,26,14,0,39,0,0,,0,0,32,138,43,3,0,0,0,1,35,33,94.3,0
9,197640fd,723f5105,a2d435b3,LB,25-288,23,33,0,4,17,14,1,29,1,1,100.0,1,0,24,130,83,4,1,0,0,1,25,23,92.0,1
10,1900032e,723f5105,a2d435b3,CB,29-047,90,91,14,47,48,3,0,91,0,0,,0,0,68,360,185,3,2,0,0,0,76,73,96.1,0
11,21166ff4,723f5105,a2d435b3,CB,25-119,90,72,9,38,38,3,1,70,0,0,,0,0,52,362,163,3,1,0,0,0,55,55,100.0,0
12,75a72a99,723f5105,a2d435b3,RB,27-348,90,95,1,20,52,27,5,83,2,2,100.0,2,0,65,254,136,10,1,1,0,1,64,60,93.8,2
13,53af52f3,723f5105,a2d435b3,GK,34-318,90,24,22,24,0,0,0,16,0,0,,0,0,11,60,20,0,0,0,0,0,10,10,100.0,0
0,92e7e919,eaf98461,361ca564,FW,29-073,90,44,0,3,18,23,5,35,2,3,66.7,2,0,28,83,45,3,0,1,3,2,44,26,59.1,6
1,21a66f6a,eaf98461,361ca564,AM,28-053,90,42,2,5,30,11,3,38,1,2,50.0,1,0,28,165,42,2,2,0,2,1,40,30,75.0,3
2,d7553721,eaf98461,361ca564,AM,25-163,61,38,0,3,19,16,2,36,0,0,,0,0,29,139,46,3,0,0,1,6,33,30,90.9,8
3,7b5ab7f2,eaf98461,361ca564,AM,20-220,29,13,1,4,5,5,0,13,1,2,50.0,1,0,11,71,50,0,0,0,1,0,13,9,69.2,2
4,cea4ee8f,eaf98461,361ca564,CM,25-161,90,49,6,16,27,12,2,48,1,1,100.0,1,0,29,108,61,3,2,0,2,3,33,29,87.9,2
5,5cdddffa,eaf98461,361ca564,CM,24-265,61,47,0,6,35,7,0,47,2,2,100.0,2,0,33,128,61,5,0,0,1,4,37,36,97.3,1
6,6250083a,eaf98461,361ca564,DM,21-003,29,22,2,8,13,2,0,21,0,0,,0,0,14,32,10,0,0,0,0,0,15,14,93.3,0
7,8b04d6c1,eaf98461,361ca564,"DM,CM",26-045,90,82,3,24,53,9,0,80,0,0,,0,0,52,181,84,2,1,0,0,1,55,55,100.0,2
8,3353737a,eaf98461,361ca564,LB,24-277,90,69,5,20,33,22,1,64,1,1,100.0,1,0,44,195,94,5,3,1,2,0,46,45,97.8,1
9,ac861941,eaf98461,361ca564,CB,27-247,90,75,25,54,22,2,1,73,0,0,,0,0,45,212,96,1,0,0,0,0,49,49,100.0,0
10,a3d94a58,eaf98461,361ca564,CB,23-145,82,51,7,30,21,2,1,51,0,0,,0,0,33,149,56,0,0,0,1,1,35,34,97.1,0
