,minute,player_id,team_id,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
0,2,fce2302c,3adf2aa7,Saved,33,Left Foot,,57e3f0c7,Pass (Live),e61b8aee,Pass (Live)
1,11,2944f86f,3adf2aa7,Off Target,7,Head,,6afaebf2,Pass (Live),8a3c1dc7,Pass (Live)
2,12,6afaebf2,3adf2aa7,Woodwork,16,Right Foot,,e09f279b,Pass (Live),2944f86f,Pass (Live)
3,16,dc6f5bdd,3adf2aa7,Wayward,20,Right Foot,Half volley,fce2302c,Pass (Live),e61b8aee,Pass (Live)
4,22,1137759d,3adf2aa7,Goal,17,Right Foot,,e541326e,Pass (Live),,
5,28,1137759d,3adf2aa7,Off Target,20,Right Foot,,2944f86f,Pass (Live),1137759d,Pass (Live)
6,30,6afaebf2,3adf2aa7,Off Target,13,Right Foot,,6afaebf2,Dribble,a8c0acb7,Pass (Live)
7,31,31822f8c,3adf2aa7,Off Target,9,Right Foot,,fce2302c,Pass (Live),e61b8aee,Pass (Live)
8,33,57e3f0c7,3adf2aa7,Off Target,24,Left Foot,,48a5a5d6,Pass (Live),17695062,Pass (Live)
9,38,31822f8c,3adf2aa7,Off Target,24,Right Foot,,,,,
10,42,31822f8c,3adf2aa7,Wayward,9,Head,,fce2302c,Pass (Live),e61b8aee,Pass (Live)
11,45+1,57e3f0c7,3adf2aa7,Blocked,16,Left Foot,,48a5a5d6,Pass (Live),17695062,Pass (Live)
12,51,17695062,3adf2aa7,Saved,17,Right Foot,,fce2302c,Pass (Live),35e413f1,Interception
13,60,1b4f1169,3adf2aa7,Saved,26,Left Foot,,57e3f0c7,Pass (Live),1b4f1169,Pass (Live)
14,64,fce2302c,3adf2aa7,Blocked,18,Right Foot,Half volley,bc7dc64d,Pass (Live),1b4f1169,Pass (Live)
15,65,48a5a5d6,3adf2aa7,Wayward,5,Head,,57e3f0c7,Pass (Dead),fce2302c,Shot
16,66,1137759d,3adf2aa7,Saved,16,Right Foot,,6afaebf2,Pass (Live),8449d35e,Pass (Live)
17,68,dc6f5bdd,3adf2aa7,Blocked,20,Right Foot,,e61b8aee,Pass (Live),bc7dc64d,Pass (Live)
18,70,e61b8aee,3adf2aa7,Off Target,14,Left Foot,Half volley,dc6f5bdd,Pass (Live),57e3f0c7,Pass (Live)
19,73,df0a4c90,3adf2aa7,Goal,3,Head,,,,,
20,76,fce2302c,3adf2aa7,Off Target,16,Left Foot,Volley,17695062,Pass (Live),fce2302c,Pass (Live)
21,77,57e3f0c7,3adf2aa7,Off Target,25,Left Foot,Free kick,fce2302c,Fouled,bc7dc64d,Pass (Live)
22,80,df0a4c90,3adf2aa7,Off Target,3,Head,,1137759d,Pass (Dead),8a3c1dc7,Pass (Live)
23,83,a65c844b,3adf2aa7,Off Target,27,Left Foot,,1b4f1169,Pass (Live),c5bdb6e3,Pass (Live)
24,86,e61b8aee,3adf2aa7,Off Target,27,Left Foot,,1b4f1169,Pass (Live),bc7dc64d,Pass (Live)
25,87,57e3f0c7,3adf2aa7,Saved,14,Left Foot,,fce2302c,Pass (Live),17695062,Pass (Live)
26,87,aa54ec6f,3adf2aa7,Off Target,4,Head,,17695062,Pass (Live),57e3f0c7,Pass (Dead)
27,90+1,1b4f1169,3adf2aa7,Off Target,31,Right Foot,,fce2302c,Pass (Live),e61b8aee,Pass (Live)
28,90+2,c5bdb6e3,3adf2aa7,Blocked,18,Left Foot,Half volley,fce2302c,Pass (Live),fce2302c,Dribble
29,90+2,17695062,3adf2aa7,Off Target,17,Right Foot,,c5bdb6e3,Pass (Live),c5bdb6e3,Shot
0,2,d93c2511,e62685d4,Blocked,13,Right Foot,,507c7bdf,Pass (Live),c931d9f9,Pass (Live)
1,6,58eee997,e62685d4,Saved,25,Left Foot,,d93c2511,Pass (Live),507c7bdf,Pass (Live)
2,9,282679b4,e62685d4,Blocked,19,Right Foot,,aa849a12,Pass (Live),3423f250,Pass (Dead)
3,11,d8931174,e62685d4,Off Target,13,Head,,9c94165b,Pass (Dead),,
4,12,867239d3,e62685d4,Off Target,15,Left Foot,,58eee997,Pass (Live),58eee997,Dribble
5,15,c931d9f9,e62685d4,Blocked,17,Left Foot,Half volley,,,,
6,16,aa849a12,e62685d4,Saved,24,Left Foot,Half volley,,,,
7,16,282679b4,e62685d4,Saved,24,Right Foot,,aa849a12,Pass (Live),282679b4,Pass (Live)
8,26,93feac6e,e62685d4,Off Target,11,Head,,3423f250,Pass (Dead),aa849a12,Fouled
9,27,867239d3,e62685d4,Saved,33,Right Foot,,507c7bdf,Pass (Live),58eee997,Pass (Live)
10,30,507c7bdf,e62685d4,Goal,13,Left Foot,Half volley,867239d3,Pass (Live),d93c2511,Pass (Live)
11,33,9c94165b,e62685d4,Off Target,18,Left Foot,,507c7bdf,Pass (Live),9c94165b,Pass (Live)
12,34,3423f250,e62685d4,Blocked,21,Left Foot,,93feac6e,Pass (Live),67ca8566,Pass (Live)
13,36,c931d9f9,e62685d4,Off Target,16,Right Foot,,9c94165b,Pass (Live),,
14,42,507c7bdf,e62685d4,Blocked,28,Right Foot,,c931d9f9,Pass (Live),f5deef4c,Pass (Live)
15,45,c931d9f9,e62685d4,Saved,17,Right Foot,,867239d3,Pass (Live),58eee997,Pass (Live)
16,49,420d7c7d,e62685d4,Goal,26,Right Foot,,67ca8566,Pass (Live),24f59bb2,Pass (Dead)
17,52,58eee997,e62685d4,Goal,15,Left Foot,,867239d3,Pass (Live),9c94165b,Pass (Live)
18,54,507c7bdf,e62685d4,Goal,11,Left Foot,,867239d3,Pass (Live),b853e0ad,Pass (Live)
19,60,507c7bdf,e62685d4,Goal,13,Right Foot,Half volley,f5deef4c,Pass (Live),d93c2511,Pass (Live)
20,68,b853e0ad,e62685d4,Goal,14,Left Foot,,867239d3,Pass (Live),58eee997,Pass (Live)
21,74,58eee997,e62685d4,Off Target,26,Left Foot,,,,,
22,79,6c17e046,e62685d4,Off Target,27,Right Foot,Half volley,,,,
23,80,f13d02a6,e62685d4,Off Target,22,Right Foot,Half volley,dc64b8b3,Pass (Live),,
24,86,3423f250,e62685d4,Off Target,16,Left Foot,,6c17e046,Pass (Live),f4d296e4,Pass (Live)
25,87,420d7c7d,e62685d4,Off Target,17,Right Foot,Half volley,,,,
0,10,45963054,0b346a62,Saved,16,Left Foot,Half volley,819aa8e7,Pass (Live),6b47c5db,Pass (Live)
1,16,45963054,0b346a62,Blocked,11,Right Foot,,,,,
2,18,9a28eba4,0b346a62,Blocked,23,Right Foot,,9a28eba4,Dribble,b561db50,Pass (Live)
3,24,44bfb6c5,0b346a62,Off Target,30,Right Foot,,b561db50,Pass (Live),9a28eba4,Pass (Live)
4,26,45963054,0b346a62,Saved,22,Left Foot,,819aa8e7,Pass (Live),1a4ef233,Pass (Live)
5,34,45963054,0b346a62,Wayward,12,Right Foot,Back heel,ee38d9c5,Pass (Live),,
6,36,9a28eba4,0b346a62,Off Target,16,Right Foot,,f5a00fa4,Pass (Live),f5a00fa4,Interception
7,41,45963054,0b346a62,Goal,9,Left Foot,Volley,75a72a99,Pass (Live),75a72a99,Dribble
8,45+1,3ea50f67,0b346a62,Saved,15,Right Foot,,45963054,Pass (Live),3ea50f67,Pass (Live)
9,45+1,56f7a928,0b346a62,Saved,31,Right Foot,,819aa8e7,Pass (Live),ee38d9c5,Pass (Live)
10,47,9a28eba4,0b346a62,Blocked,18,Left Foot,,,,,
11,47,f5a00fa4,0b346a62,Off Target,26,Right Foot,,,,,
12,51,77e39b04,0b346a62,Blocked,10,Left Foot,,44bfb6c5,Pass (Live),77e39b04,Pass (Live)
13,53,b561db50,0b346a62,Saved off Target,9,Head,,9ae9eaea,Pass (Live),9a28eba4,Pass (Live)
14,57,9a71e978,0b346a62,Off Target,22,Right Foot,,77e39b04,Pass (Live),9a71e978,Pass (Live)
15,61,9a28eba4,0b346a62,Blocked,23,Right Foot,,77e39b04,Pass (Live),77e39b04,Dribble
16,65,b561db50,0b346a62,Off Target,7,Head,,9a71e978,Pass (Live),44bfb6c5,Pass (Live)
17,67,9a28eba4,0b346a62,Saved,17,Right Foot,Half volley,9a28eba4,Dribble,9fbbcf39,Pass (Live)
18,73,77e39b04,0b346a62,Saved,26,Left Foot,,b561db50,Pass (Live),77e39b04,Pass (Live)
19,77,45963054,0b346a62,Off Target,19,Right Foot,,56f7a928,Pass (Live),c92e1a31,Pass (Live)
20,79,9a28eba4,0b346a62,Blocked,18,Left Foot,,9a28eba4,Tackle,,
21,87,d0f72bf1,0b346a62,Blocked,8,Left Foot,,d0f72bf1,Dribble,b561db50,Pass (Live)
22,87,d0f72bf1,0b346a62,Saved,8,Head,,44bfb6c5,Pass (Live),9a71e978,Pass (Live)
23,88,32f60ed8,0b346a62,Blocked,16,Left Foot,,9a28eba4,Pass (Live),9ae9eaea,Pass (Live)
24,89,b561db50,0b346a62,Wayward,18,Right Foot,Volley,,,,
25,90+2,c92e1a31,0b346a62,Blocked,19,Left Foot,,45963054,Pass (Live),56f7a928,Pass (Live)
0,2,15ea812b,4eb36e37,Goal,2,Head,,495945ef,Pass (Dead),cc2d7ad5,Pass (Dead)
1,16,bb5fbd2b,4eb36e37,Saved,28,Left Foot,Free kick,4bcf39f6,Fouled,ad1f61f3,Pass (Live)
2,19,74e12f1e,4eb36e37,Off Target,19,Right Foot,Half volley,495945ef,Pass (Live),,
3,19,f72293fc,4eb36e37,Woodwork,23,Right Foot,,,,,
4,22,4e9a0555,4eb36e37,Saved,26,Left Foot,,9a9c05db,Pass (Live),4e9a0555,Pass (Live)
5,31,4ab53cdb,4eb36e37,Saved,16,Right Foot,,4e9a0555,Dribble,495945ef,Pass (Live)
6,35,7314bba4,4eb36e37,Off Target,10,Head,,8aec0537,Pass (Dead),,
7,36,8df7a2fb,4eb36e37,Woodwork,4,Head,,,,,
8,36,15ea812b,4eb36e37,Off Target,7,Right Foot,Volley,,,,
9,38,4bcf39f6,4eb36e37,Saved,17,Right Foot,Overhead kick,1d5cab82,Pass (Live),4bcf39f6,Pass (Live)
10,41,7314bba4,4eb36e37,Blocked,11,Head,,bb5fbd2b,Pass (Dead),,
11,41,8aec0537,4eb36e37,Blocked,20,Right Foot,Half volley,7314bba4,Shot,,
12,41,4bcf39f6,4eb36e37,Off Target,9,Head,,bb5fbd2b,Pass (Live),c40b6180,Pass (Live)
13,47,4bcf39f6,4eb36e37,Blocked,11,Right Foot,,ad1f61f3,Pass (Live),8aec0537,Pass (Live)
14,47,c40b6180,4eb36e37,Blocked,9,Head,,8aec0537,Pass (Dead),4bcf39f6,Shot
15,52,f72293fc,4eb36e37,Off Target,20,Left Foot,Free kick,cc2d7ad5,Fouled,4ab53cdb,Pass (Live)
16,54,15ea812b,4eb36e37,Off Target,4,Head,,fc15fb84,Pass (Live),495945ef,Pass (Live)
17,58,38ceb24a,4eb36e37,Off Target,11,Left Foot,,ad1f61f3,Pass (Live),8aec0537,Pass (Live)
18,67,7314bba4,4eb36e37,Saved,12,Head,,bb5fbd2b,Pass (Dead),38ceb24a,Dribble
19,68,4e9a0555,4eb36e37,Wayward,11,Head,,fc15fb84,Pass (Live),f72293fc,Pass (Live)
20,72,4e9a0555,4eb36e37,Blocked,21,Right Foot,,2691c772,Pass (Live),,
21,73,4bcf39f6,4eb36e37,Goal,5,Right Foot,Deflected,f230bc30,Pass (Live),6c203af0,Pass (Live)
22,78,83d074ff,4eb36e37,Goal,10,Right Foot,,8aec0537,Pass (Live),c40b6180,Pass (Live)
23,84,74e12f1e,4eb36e37,Blocked,25,Right Foot,,47369df8,Pass (Live),9a9c05db,Pass (Live)
24,85,0d4ceb32,4eb36e37,Blocked,21,Left Foot,,4e9a0555,Pass (Live),9a9c05db,Pass (Live)
25,88,0d4ceb32,4eb36e37,Off Target,8,Head,,cc2d7ad5,Pass (Live),8df7a2fb,Pass (Live)
26,90+2,f230bc30,4eb36e37,Saved,22,Right Foot,Half volley,6a713852,Pass (Live),282f75f3,Pass (Live)
27,90+2,8aec0537,4eb36e37,Blocked,28,Right Foot,Lob,f230bc30,Shot,,
0,7,53cad200,6f454493,Off Target,22,Right Foot,,,,,
1,10,1bf33a9a,6f454493,Saved,11,Head,,f4290206,Pass (Live),79c0821a,Pass (Live)
2,13,79c0821a,6f454493,Blocked,23,Right Foot,,49fe9070,Pass (Live),f4290206,Pass (Dead)
3,15,9674002f,6f454493,Saved,27,Right Foot,Free kick,9674002f,Fouled,1bf33a9a,Pass (Live)
4,22,79c0821a,6f454493,Wayward,26,Right Foot,Half volley,,,,
5,27,f4290206,6f454493,Goal,24,Left Foot,Free kick,9674002f,Fouled,53cad200,Pass (Live)
6,34,9674002f,6f454493,Blocked,25,Right Foot,Free kick,1bf33a9a,Fouled,45db685d,Pass (Live)
7,40,1bf33a9a,6f454493,Goal,6,Left Foot,,53cad200,Pass (Live),9674002f,Pass (Live)
8,44,49fe9070,6f454493,Off Target,9,Right Foot,,f4290206,Pass (Live),45db685d,Pass (Live)
9,47,f4290206,6f454493,Saved,15,Left Foot,Volley,45db685d,Pass (Live),9674002f,Pass (Live)
10,48,f4290206,6f454493,Off Target,28,Left Foot,Free kick,9674002f,Fouled,,
11,53,b2bc3b1f,6f454493,Blocked,12,Right Foot,,da052c14,Pass (Live),,
12,54,3312f911,6f454493,Off Target,10,Left Foot,Half volley,d0706b27,Pass (Live),7a1f2c08,Pass (Dead)
13,58,5515376c,6f454493,Goal,27,Right Foot,,79c0821a,Pass (Live),45db685d,Pass (Live)
14,63,da052c14,6f454493,Saved,8,Head,,cee31595,Pass (Live),,
15,68,9674002f,6f454493,Blocked,26,Right Foot,,79c0821a,Pass (Live),1265a93a,Pass (Live)
16,90,ab070c55,6f454493,Off Target,14,Right Foot,Volley,e34fc66d,Pass (Live),b2bc3b1f,Pass (Live)
0,2,66b76d44,814b563c,Blocked,22,Right Foot,,be927d03,Pass (Live),07802f7f,Pass (Live)
1,3,bfdb33aa,814b563c,Off Target,19,Right Foot,Volley,,,,
2,10,2c44a35d,814b563c,Blocked,12,Right Foot,,bfdb33aa,Pass (Live),6cdd8245,Pass (Live)
3,10,2c44a35d,814b563c,Goal,11,Right Foot,,2c44a35d,Shot,,
4,28,bfdb33aa,814b563c,Saved,23,Right Foot,Half volley,bfdb33aa,Dribble,2c44a35d,Pass (Live)
5,29,2c44a35d,814b563c,Saved,12,Right Foot,,2c44a35d,Dribble,bfdb33aa,Pass (Live)
6,32,5aaef9ef,814b563c,Off Target,21,Right Foot,Half volley,2c44a35d,Pass (Live),5aaef9ef,Pass (Live)
7,33,be927d03,814b563c,Off Target,14,Head,,e514ab62,Pass (Live),ffa90327,Pass (Dead)
8,40,914ab9a1,814b563c,Off Target,6,Head,,1770bd68,Pass (Dead),1770bd68,Fouled
9,42,bfdb33aa,814b563c,Goal,16,Right Foot,Deflected,2c44a35d,Pass (Live),bfdb33aa,Pass (Live)
10,43,5aaef9ef,814b563c,Off Target,27,Left Foot,,2c44a35d,Pass (Live),2c44a35d,Dribble
11,49,1544f145,814b563c,Off Target,19,Left Foot,Half volley,,,,
12,50,90f91999,814b563c,Off Target,23,Left Foot,,,,,
13,51,2c44a35d,814b563c,Saved,19,Right Foot,,bfdb33aa,Pass (Live),2c44a35d,Pass (Live)
14,64,2c44a35d,814b563c,Blocked,15,Right Foot,,1770bd68,Pass (Live),2c44a35d,Pass (Live)
15,67,71b47ab9,814b563c,Goal,22,Right Foot,,6cdd8245,Pass (Live),5aaef9ef,Fouled
16,70,90f91999,814b563c,Goal,19,Left Foot,Half volley,3a233281,Pass (Live),be927d03,Pass (Live)
17,83,3a233281,814b563c,Blocked,15,Right Foot,,1544f145,Pass (Live),c47541e0,Pass (Live)
18,88,3a233281,814b563c,Off Target,28,Left Foot,Free kick,1544f145,Fouled,07802f7f,Dribble
19,90,71b47ab9,814b563c,Saved,23,Right Foot,,b579e83d,Pass (Live),,
20,90,90f91999,814b563c,Wayward,23,Left Foot,Half volley,be927d03,Pass (Live),de5b5570,Pass (Live)
21,90+7,07802f7f,814b563c,Goal,12,Right Foot,,c47541e0,Fouled,c47541e0,Dribble
22,90+8,2389cdc2,814b563c,Wayward,25,Right Foot,Volley,,,,
23,90+8,c47541e0,814b563c,Blocked,16,Left Foot,Half volley,c47541e0,Dribble,2389cdc2,Shot
0,3,cc700722,c99ebbf5,Saved,21,Right Foot,,4468ec10,Pass (Live),cc700722,Pass (Live)
1,5,68c720b5,c99ebbf5,Off Target,14,Head,,3515d404,Pass (Dead),f2bf1b0f,Fouled
2,10,59e6e5bf,c99ebbf5,Off Target,4,Head,,4468ec10,Pass (Live),0420d84f,Pass (Live)
3,22,68c720b5,c99ebbf5,Goal,15,Right Foot,,f2bf1b0f,Pass (Live),f2bf1b0f,Tackle
4,34,1b84dbe1,c99ebbf5,Blocked,23,Left Foot,Free kick,59e6e5bf,Fouled,4468ec10,Pass (Live)
5,35,59e6e5bf,c99ebbf5,Off Target,6,Head,,b28bbd58,Pass (Live),02b29014,Pass (Live)
6,41,68c720b5,c99ebbf5,Saved,16,Left Foot,Half volley,,,,
7,44,1b84dbe1,c99ebbf5,Off Target,26,Left Foot,Half volley,,,,
8,47,fa031b34,c99ebbf5,Goal,5,Left Foot,Volley,b28bbd58,Pass (Live),,
9,51,c5b7c315,c99ebbf5,Blocked,8,Left Foot,,fa031b34,Pass (Live),1b84dbe1,Pass (Live)
10,51,59e6e5bf,c99ebbf5,Saved,2,Right Foot,Half volley,c5b7c315,Shot,,
11,54,02b29014,c99ebbf5,Blocked,13,Head,,b28bbd58,Pass (Live),02b29014,Pass (Live)
12,72,0b33f6ad,c99ebbf5,Saved,16,Left Foot,Overhead kick,6dfd8f05,Pass (Live),,
13,74,6ca5ec4b,c99ebbf5,Wayward,9,Right Foot,Volley,0420d84f,Pass (Live),02b29014,Pass (Live)
14,76,02b29014,c99ebbf5,Goal,17,Right Foot,,6ca5ec4b,Pass (Live),0420d84f,Pass (Live)
15,78,4b511457,c99ebbf5,Blocked,25,Right Foot,Half volley,,,,
16,81,59e6e5bf,c99ebbf5,Goal,6,Head,Diving header,fa031b34,Pass (Live),6ca5ec4b,Pass (Live)
17,85,59e6e5bf,c99ebbf5,Off Target,16,Right Foot,,1b84dbe1,Pass (Live),,
18,87,11ff3d56,c99ebbf5,Blocked,5,Head,,3515d404,Pass (Dead),f2bf1b0f,Fouled
19,88,6ca5ec4b,c99ebbf5,Saved,16,Left Foot,,fa031b34,Pass (Live),1b84dbe1,Pass (Live)
0,11,178ae8f8,c52500ad,Saved,9,Head,,f25c8e3a,Pass (Live),,
1,18,e342ad68,c52500ad,Saved,13,Right Foot,,e342ad68,Dribble,cd1acf9d,Pass (Live)
2,19,38c7feef,c52500ad,Off Target,24,Right Foot,Half volley,,,,
3,20,0745b37d,c52500ad,Saved,13,Right Foot,,f63d8a4b,Pass (Live),774cf58b,Pass (Live)
4,20,3faa1780,c52500ad,Off Target,25,Right Foot,Half volley,,,,
5,21,112c495e,c52500ad,Saved,21,Right Foot,,f5044e54,Pass (Live),3faa1780,Pass (Live)
6,23,e342ad68,c52500ad,Off Target,16,Left Foot,Volley,c691bfe2,Pass (Live),f315ca93,Pass (Live)
7,24,f63d8a4b,c52500ad,Off Target,47,Right Foot,,,,,
8,26,178ae8f8,c52500ad,Goal,12,Right Foot,,e342ad68,Pass (Live),cd1acf9d,Pass (Live)
9,33,c691bfe2,c52500ad,Blocked,12,Head,,cd1acf9d,Pass (Live),178ae8f8,Pass (Live)
10,33,f315ca93,c52500ad,Blocked,20,Left Foot,Half volley,e342ad68,Pass (Live),,
11,34,e342ad68,c52500ad,Blocked,18,Left Foot,Volley,,,,
12,34,b217ef29,c52500ad,Blocked,11,Left Foot,,e342ad68,Shot,,
13,35,e06683ca,c52500ad,Off Target,13,Right Foot,Volley,f315ca93,Pass (Live),cd1acf9d,Pass (Dead)
14,45,3faa1780,c52500ad,Blocked,9,Head,,6c6a3300,Pass (Live),6c6a3300,Dribble
15,47,6c6a3300,c52500ad,Wayward,10,Head,,f5044e54,Pass (Live),f63d8a4b,Pass (Live)
16,49,c691bfe2,c52500ad,Blocked,12,Left Foot,,cd1acf9d,Pass (Live),f25c8e3a,Pass (Live)
17,51,38c7feef,c52500ad,Wayward,24,Right Foot,Volley,,,,
18,54,cd1acf9d,c52500ad,Off Target,29,Right Foot,Free kick,178ae8f8,Fouled,178ae8f8,Dribble
19,58,bcfb0142,c52500ad,Blocked,8,Head,,6c6a3300,Pass (Dead),,
20,58,f5044e54,c52500ad,Wayward,18,Right Foot,Volley,112c495e,Pass (Live),,
21,63,f315ca93,c52500ad,Saved,15,Left Foot,,c691bfe2,Pass (Live),4c370d81,Pass (Live)
22,63,cd1acf9d,c52500ad,Off Target,24,Right Foot,Half volley,c691bfe2,Pass (Live),2f90f6b8,Pass (Live)
23,65,c691bfe2,c52500ad,Blocked,18,Right Foot,,4c370d81,Pass (Live),2f90f6b8,Pass (Live)
24,65,4c370d81,c52500ad,Goal,9,Right Foot,,e342ad68,Pass (Live),c691bfe2,Shot
25,70,3faa1780,c52500ad,Off Target,22,Right Foot,,f63d8a4b,Pass (Live),,
26,74,e342ad68,c52500ad,Goal,17,Left Foot,,,,,
27,80,e342ad68,c52500ad,Off Target,16,Left Foot,,e06683ca,Pass (Live),,
28,87,bcfb0142,c52500ad,Saved,4,Left Foot,Half volley,f5044e54,Pass (Live),3faa1780,Pass (Live)
29,87,e9254eec,c52500ad,Blocked,5,Left Foot,Half volley,,,,
30,87,291e3ec3,c52500ad,Saved,4,Right Foot,Half volley,e9254eec,Shot,,
31,87,774cf58b,c52500ad,Off Target,32,Right Foot,,2f6ec02a,Pass (Live),,
32,89,a8d4428b,c52500ad,Off Target,19,Right Foot,,774cf58b,Pass (Live),f5044e54,Pass (Live)
33,90,3faa1780,c52500ad,Off Target,23,Left Foot,,2f6ec02a,Pass (Live),3faa1780,Pass (Live)
0,2,3e9e06cb,41091264,Blocked,7,Head,,4f974391,Pass (Dead),5a04fd92,Pass (Live)
1,2,6613c819,41091264,Blocked,4,Head,,3e9e06cb,Shot,,
2,5,c596fcb0,41091264,Goal,3,Head,,2b16cb1a,Pass (Live),3727dd3c,Tackle
3,8,ac05f970,41091264,Blocked,26,Right Foot,,ac05f970,Dribble,82927de4,Pass (Live)
4,10,c951a6df,41091264,Blocked,26,Right Foot,,862a1c15,Pass (Live),2b16cb1a,Pass (Live)
5,18,4f974391,41091264,Goal,14,Left Foot,,82927de4,Pass (Live),5a04fd92,Pass (Live)
6,23,79c84d1c,41091264,Saved,10,Left Foot,,79c84d1c,Dribble,79c84d1c,Dribble
7,23,c596fcb0,41091264,Saved,11,Right Foot,Back heel,3727dd3c,Pass (Live),c951a6df,Pass (Live)
8,26,862a1c15,41091264,Blocked,19,Left Foot,,2b16cb1a,Pass (Live),2b16cb1a,Dribble
9,27,2b91cf8e,41091264,Blocked,8,Head,,71ef519e,Pass (Dead),862a1c15,Shot
10,27,2b91cf8e,41091264,Off Target,7,Left Foot,Half volley,2b91cf8e,Shot,,
11,30,6613c819,41091264,Blocked,8,Head,Diving header,1c7012b8,Pass (Live),79c84d1c,Pass (Dead)
12,31,5a04fd92,41091264,Blocked,15,Right Foot,,82927de4,Pass (Live),4f974391,Pass (Live)
13,31,82927de4,41091264,Off Target,22,Right Foot,Half volley,5a04fd92,Shot,,
14,33,2b91cf8e,41091264,Off Target,4,Head,,71ef519e,Pass (Dead),,
15,35,de112b84,41091264,Off Target,30,Left Foot,,2b16cb1a,Pass (Live),862a1c15,Pass (Live)
16,40,de112b84,41091264,Goal,10,Head,,71ef519e,Pass (Live),862a1c15,Pass (Live)
17,43,c596fcb0,41091264,Blocked,19,Right Foot,,2b16cb1a,Pass (Live),71ef519e,Pass (Live)
18,44,5a04fd92,41091264,Off Target,27,Right Foot,,79c84d1c,Pass (Live),,
19,45+2,77cf6852,41091264,Off Target,14,Right Foot,Half volley,71ef519e,Pass (Live),,
20,52,4f974391,41091264,Off Target,32,Left Foot,Free kick,5a04fd92,Fouled,1c7012b8,Pass (Live)
21,53,5a04fd92,41091264,Goal,5,Head,,ac05f970,Pass (Live),79c84d1c,Pass (Live)
22,56,de112b84,41091264,Blocked,27,Left Foot,,,,,
23,57,862a1c15,41091264,Blocked,22,Left Foot,Half volley,2b91cf8e,Pass (Live),de112b84,Pass (Live)
24,62,ac05f970,41091264,Woodwork,3,Head,Open goal,fdf3cb77,Pass (Live),82927de4,Pass (Live)
25,63,ac05f970,41091264,Saved,12,Right Foot,,82927de4,Fouled,,
26,63,6613c819,41091264,Goal,6,Right Foot,,ac05f970,Shot,,
27,66,79c84d1c,41091264,Saved,27,Left Foot,,,,,
28,66,ac05f970,41091264,Goal,14,Right Foot,,5a04fd92,Pass (Live),79c84d1c,Pass (Live)
29,71,c596fcb0,41091264,Wayward,7,Right Foot,Volley,de112b84,Pass (Live),de112b84,Dribble
30,79,d56543a0,41091264,Off Target,24,Right Foot,,,,,
31,81,82927de4,41091264,Saved,20,Right Foot,,1c7012b8,Pass (Live),6613c819,Pass (Live)
32,83,6613c819,41091264,Blocked,20,Left Foot,,79c84d1c,Pass (Live),1c7012b8,Pass (Live)
33,87,71ef519e,41091264,Blocked,20,Left Foot,Volley,,,,
34,88,f25b010f,41091264,Wayward,10,Right Foot,Volley,,,,
0,4,819b3158,ff51efc7,Blocked,24,Right Foot,Free kick,b0b4fd3e,Fouled,b400bde0,Pass (Live)
1,5,101da2b5,ff51efc7,Off Target,7,Head,,5271c8f1,Pass (Live),b0b4fd3e,Pass (Live)
2,6,bd6351cd,ff51efc7,Off Target,12,Right Foot,Half volley,bd6351cd,Dribble,,
3,21,a29b1131,ff51efc7,Blocked,22,Right Foot,,8b04d6c1,Pass (Live),8b04d6c1,Fouled
4,24,da7b447d,ff51efc7,Wayward,9,Head,,92e7e919,Pass (Dead),cea4ee8f,Fouled
5,24,2b622f01,ff51efc7,Blocked,11,Right Foot,Volley,da7b447d,Shot,,
6,28,92e7e919,ff51efc7,Blocked,12,Left Foot,,a29b1131,Pass (Live),2b622f01,Pass (Live)
7,34,b0b4fd3e,ff51efc7,Blocked,19,Right Foot,,,,,
8,35,892d5bb1,ff51efc7,Off Target,10,Left Foot,Half volley,b400bde0,Pass (Live),819b3158,Pass (Live)
9,40,92e7e919,ff51efc7,Blocked,19,Right Foot,,2b622f01,Pass (Live),8b04d6c1,Pass (Live)
10,41,892d5bb1,ff51efc7,Blocked,18,Left Foot,,101da2b5,Pass (Live),3bb7b8b4,Pass (Dead)
11,42,92e7e919,ff51efc7,Off Target,22,Right Foot,Half volley,2b622f01,Pass (Live),92e7e919,Pass (Live)
12,44,b0b4fd3e,ff51efc7,Blocked,16,Right Foot,,bd6351cd,Pass (Live),892d5bb1,Pass (Live)
13,44,101da2b5,ff51efc7,Off Target,29,Right Foot,,b0b4fd3e,Shot,,
14,48,819b3158,ff51efc7,Blocked,14,Right Foot,,b0b4fd3e,Pass (Live),892d5bb1,Pass (Live)
15,49,2b622f01,ff51efc7,Off Target,25,Right Foot,,3353737a,Pass (Live),,
16,49,b400bde0,ff51efc7,Saved,20,Right Foot,,5271c8f1,Pass (Live),3bb7b8b4,Pass (Dead)
17,52,101da2b5,ff51efc7,Off Target,30,Right Foot,,892d5bb1,Pass (Live),9e1035f8,Pass (Live)
18,53,2b622f01,ff51efc7,Wayward,5,Head,,e9971f2d,Pass (Live),3353737a,Pass (Live)
19,54,8b04d6c1,ff51efc7,Blocked,31,Right Foot,,2b622f01,Pass (Live),,
20,55,92e7e919,ff51efc7,Goal,22,Left Foot,,a29b1131,Pass (Live),2b622f01,Pass (Live)
21,57,bd6351cd,ff51efc7,Off Target,29,Right Foot,,101da2b5,Pass (Live),5271c8f1,Pass (Live)
