,player_id,match_id,team_id,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles
5,507c7bdf,e62685d4,19538871,AM,26-340,90,3,0,0,0,4,3,0,0,41,21,0,0,2,0.6,0.6,0.1,4,0,22,30,73.3,3,28,4,0,1
6,b853e0ad,e62685d4,19538871,DM,28-162,90,1,0,0,0,1,1,0,0,51,23,0,4,1,0.2,0.2,0.0,1,1,29,39,74.4,3,28,3,0,1
7,d93c2511,e62685d4,19538871,DM,24-249,68,0,0,0,0,1,0,0,0,41,6,2,1,2,0.1,0.1,0.0,3,2,25,29,86.2,5,23,2,3,4
8,eb7822d7,e62685d4,19538871,DM,33-013,22,0,0,0,0,0,0,0,0,19,3,0,2,0,0.0,0.0,0.0,0,0,14,15,93.3,0,11,2,0,0
9,9c94165b,e62685d4,19538871,LB,26-033,90,0,0,0,0,1,0,1,0,57,16,2,0,1,0.0,0.0,0.1,4,1,39,48,81.3,4,35,4,1,3
10,d8931174,e62685d4,19538871,CB,28-162,90,0,0,0,0,1,0,0,0,56,4,2,3,0,0.0,0.0,0.0,0,0,39,45,86.7,0,36,9,0,0
11,f5deef4c,e62685d4,19538871,CB,27-028,90,0,1,0,0,0,0,0,0,68,3,0,3,1,0.0,0.0,0.2,2,1,44,52,84.6,5,40,2,0,0
12,9e525177,e62685d4,19538871,RB,23-261,90,0,0,0,0,0,0,0,0,61,13,0,1,1,0.0,0.0,0.0,0,0,42,50,84.0,3,34,4,4,6
13,7ba6d84e,e62685d4,19538871,GK,30-280,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0.0,0.0,0.0,0,0,30,35,85.7,0,18,0,0,0
0,93feac6e,e62685d4,5bfb9659,FW,27-343,76,0,0,0,0,1,0,0,0,23,15,1,0,0,0.2,0.2,0.0,1,0,12,14,85.7,1,10,0,0,1
1,6c17e046,e62685d4,5bfb9659,FW,22-214,14,0,0,0,0,1,0,0,0,5,4,0,0,0,0.0,0.0,0.3,1,0,3,3,100.0,1,6,0,0,0
2,1fb1c435,e62685d4,5bfb9659,AM,30-161,45,0,0,0,0,0,0,0,0,20,7,1,0,0,0.0,0.0,0.0,0,0,16,19,84.2,1,16,0,2,2
3,24f59bb2,e62685d4,5bfb9659,LB,24-357,45,0,0,0,0,0,0,0,0,37,7,0,3,0,0.0,0.0,0.0,1,1,28,30,93.3,3,22,2,0,1
4,aa849a12,e62685d4,5bfb9659,LM,24-267,68,0,0,0,0,1,1,0,0,30,21,1,2,0,0.0,0.0,0.1,3,0,14,20,70.0,3,23,4,0,0
5,f13d02a6,e62685d4,5bfb9659,RM,27-214,22,0,0,0,0,1,0,0,0,6,9,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0
6,3423f250,e62685d4,5bfb9659,"RM,LM",24-243,90,0,0,0,0,2,0,1,0,66,21,3,1,3,0.3,0.3,0.2,2,0,29,47,61.7,4,39,3,1,3
7,282679b4,e62685d4,5bfb9659,"DM,AM",31-062,90,0,0,0,0,2,1,0,0,43,28,1,0,0,0.1,0.1,0.0,1,0,28,39,71.8,4,30,5,0,0
8,ea6bc03a,e62685d4,5bfb9659,DM,25-028,90,0,0,0,0,0,0,0,0,32,21,3,5,2,0.0,0.0,0.0,0,0,16,22,72.7,2,21,0,1,1
9,67ca8566,e62685d4,5bfb9659,"LB,DM",30-117,90,0,1,0,0,0,0,0,0,47,19,1,2,1,0.0,0.0,0.0,2,1,34,40,85.0,2,27,6,1,1
10,dc64b8b3,e62685d4,5bfb9659,CB,29-349,90,0,0,0,0,0,0,1,0,60,15,6,2,3,0.0,0.0,0.0,1,0,43,46,93.5,0,42,0,0,0
11,f4d296e4,e62685d4,5bfb9659,CB,22-003,90,0,0,0,0,0,0,0,0,62,15,3,5,1,0.0,0.0,0.0,1,0,43,51,84.3,2,36,1,0,0
12,420d7c7d,e62685d4,5bfb9659,RB,29-354,90,1,0,0,0,2,1,0,0,86,22,4,1,2,0.1,0.1,0.0,0,0,57,69,82.6,6,52,5,1,2
13,6b625ac2,e62685d4,5bfb9659,GK,21-165,90,0,0,0,0,0,0,0,0,52,0,0,0,0,0.0,0.0,0.0,0,0,33,48,68.8,0,27,0,0,0
0,45963054,0b346a62,a2d435b3,FW,34-215,90,1,0,0,0,6,3,1,0,26,13,0,0,1,0.6,0.6,0.1,2,0,10,13,76.9,3,21,6,2,2
1,3ea50f67,0b346a62,a2d435b3,"LW,AM",23-248,71,0,0,0,0,1,1,0,0,34,6,0,1,2,0.1,0.1,0.0,1,0,13,15,86.7,2,30,4,2,6
2,c92e1a31,0b346a62,a2d435b3,AM,24-315,19,0,0,0,0,1,0,0,0,15,6,0,0,0,0.0,0.0,0.0,1,0,6,11,54.5,0,12,1,0,0
3,819aa8e7,0b346a62,a2d435b3,RW,28-022,61,0,0,0,0,0,0,0,0,29,15,0,1,2,0.0,0.0,0.2,3,0,19,22,86.4,3,21,4,0,1
4,1900032e,0b346a62,a2d435b3,CB,29-011,29,0,0,0,0,0,0,0,0,15,5,0,0,1,0.0,0.0,0.0,0,0,13,13,100.0,1,10,1,0,0
5,ee38d9c5,0b346a62,a2d435b3,AM,24-264,61,0,0,0,0,0,0,0,0,28,9,1,0,1,0.0,0.0,0.2,2,0,17,25,68.0,2,23,3,0,0
6,ae59b359,0b346a62,a2d435b3,AM,22-168,29,0,0,0,0,0,0,0,0,22,5,1,1,0,0.0,0.0,0.0,0,0,14,16,87.5,0,18,0,1,1
