,player_id,match_id,team_id,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked
9,9c94165b,e62685d4,19538871,LB,26-033,90,48,34,14,0,0,11,0,0,3,0,3,0,22,17,9,26,7,3,11,1,39,0,0,1,3
10,d8931174,e62685d4,19538871,CB,28-162,90,45,43,2,2,0,10,1,0,0,0,0,0,33,6,6,11,31,2,0,0,39,0,1,0,1
11,f5deef4c,e62685d4,19538871,CB,27-028,90,52,52,0,0,1,7,1,0,0,0,0,0,38,4,10,10,39,2,0,1,44,0,2,2,0
12,9e525177,e62685d4,19538871,RB,23-261,90,50,33,17,2,0,7,1,0,0,0,0,0,31,15,4,4,31,0,15,0,42,0,0,3,1
13,7ba6d84e,e62685d4,19538871,GK,30-280,90,35,22,13,1,0,2,0,0,0,0,0,0,20,0,15,3,29,0,0,3,30,0,0,2,0
0,93feac6e,e62685d4,5bfb9659,FW,27-343,76,14,9,5,0,0,0,1,1,0,0,0,0,10,1,3,5,6,3,0,0,12,0,0,0,1
1,6c17e046,e62685d4,5bfb9659,FW,22-214,14,3,3,0,0,0,1,1,1,0,0,0,0,3,0,0,1,2,0,0,0,3,0,0,0,0
2,1fb1c435,e62685d4,5bfb9659,AM,30-161,45,19,18,1,0,0,7,0,0,0,0,0,0,13,5,1,12,4,2,0,0,16,0,1,1,1
3,24f59bb2,e62685d4,5bfb9659,LB,24-357,45,30,23,7,1,0,2,0,0,0,0,0,0,18,10,2,19,4,1,6,0,28,0,0,1,0
4,aa849a12,e62685d4,5bfb9659,LM,24-267,68,20,20,0,0,0,4,1,3,0,0,0,0,17,2,1,15,5,0,0,0,14,0,1,0,1
5,f13d02a6,e62685d4,5bfb9659,RM,27-214,22,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,3,1,0,0,0,4,0,0,0,0
6,3423f250,e62685d4,5bfb9659,"RM,LM",24-243,90,47,38,9,4,0,5,3,3,4,2,0,0,27,9,11,42,3,0,1,1,29,0,2,3,0
7,282679b4,e62685d4,5bfb9659,"DM,AM",31-062,90,39,39,0,0,0,7,1,2,0,0,0,0,32,2,5,8,30,1,0,0,28,0,2,4,1
8,ea6bc03a,e62685d4,5bfb9659,DM,25-028,90,22,22,0,0,0,6,0,0,0,0,0,0,15,2,5,4,17,1,0,0,16,0,0,2,0
9,67ca8566,e62685d4,5bfb9659,"LB,DM",30-117,90,40,33,7,2,0,10,3,0,0,0,0,0,25,11,4,5,28,2,5,0,34,1,2,1,1
10,dc64b8b3,e62685d4,5bfb9659,CB,29-349,90,46,45,1,1,0,6,1,0,0,0,0,0,36,5,5,40,2,3,0,1,43,0,0,0,1
11,f4d296e4,e62685d4,5bfb9659,CB,22-003,90,51,51,0,0,0,7,1,0,0,0,0,0,42,2,7,38,12,1,0,0,43,0,0,2,1
12,420d7c7d,e62685d4,5bfb9659,RB,29-354,90,69,61,8,3,0,26,3,3,0,0,0,0,40,10,19,10,51,2,5,0,57,0,1,3,4
13,6b625ac2,e62685d4,5bfb9659,GK,21-165,90,48,36,12,2,0,7,0,0,0,0,0,0,23,3,22,34,4,0,0,10,33,1,1,0,0
0,45963054,0b346a62,a2d435b3,FW,34-215,90,13,13,0,0,1,4,0,2,0,0,0,0,11,2,0,3,10,0,0,0,10,0,0,0,0
1,3ea50f67,0b346a62,a2d435b3,"LW,AM",23-248,71,15,15,0,0,0,3,0,0,0,0,0,0,13,2,0,0,15,0,0,0,13,0,0,1,0
2,c92e1a31,0b346a62,a2d435b3,AM,24-315,19,11,11,0,0,0,5,0,0,0,0,0,0,10,0,1,10,0,0,0,0,6,1,0,1,2
3,819aa8e7,0b346a62,a2d435b3,RW,28-022,61,22,21,1,0,0,10,0,1,0,0,0,0,14,7,1,1,19,0,0,1,19,0,0,0,1
4,1900032e,0b346a62,a2d435b3,CB,29-011,29,13,13,0,0,0,2,0,0,0,0,0,0,12,1,0,3,9,0,0,0,13,0,0,0,0
5,ee38d9c5,0b346a62,a2d435b3,AM,24-264,61,25,24,1,1,0,7,0,0,0,0,0,0,19,4,2,5,18,0,0,1,17,1,1,1,0
6,ae59b359,0b346a62,a2d435b3,AM,22-168,29,16,16,0,0,0,6,0,0,0,0,0,0,13,2,1,4,12,0,0,0,14,0,0,0,0
7,6b47c5db,0b346a62,a2d435b3,"CM,DM",24-241,90,68,67,1,1,0,10,1,0,0,0,0,0,57,5,6,5,57,2,0,1,65,0,0,1,0
8,56f7a928,0b346a62,a2d435b3,"CM,DM",24-099,90,86,80,6,2,0,14,2,1,3,0,1,0,73,6,7,14,70,1,1,0,72,1,3,3,0
9,fc027d02,0b346a62,a2d435b3,"LB,WB",20-065,90,71,55,16,2,0,5,1,0,2,0,2,0,46,17,8,50,8,1,12,0,62,0,0,3,0
10,21166ff4,0b346a62,a2d435b3,CB,25-083,90,88,86,2,1,0,7,1,0,0,0,0,0,78,3,7,30,56,1,1,0,80,1,1,2,1
11,1a4ef233,0b346a62,a2d435b3,CB,26-236,90,73,73,0,0,0,2,0,0,0,0,0,0,67,4,2,4,67,1,0,0,70,0,0,2,0
12,75a72a99,0b346a62,a2d435b3,"RB,WB",27-312,90,71,59,12,0,0,5,2,1,0,0,0,0,40,18,13,7,50,1,12,0,54,0,0,5,2
13,53af52f3,0b346a62,a2d435b3,GK,34-282,90,39,24,15,7,0,1,1,0,0,0,0,0,24,3,12,3,28,0,0,7,33,0,0,0,0
0,b561db50,0b346a62,8cec06e1,FW,30-101,90,24,22,2,0,0,1,0,2,0,0,0,0,17,3,4,3,18,2,0,1,19,1,0,1,0
1,9a28eba4,0b346a62,8cec06e1,"LW,LM",25-201,90,25,25,0,0,0,5,0,1,0,0,0,0,20,4,1,4,19,0,0,0,19,0,0,0,1
2,77e39b04,0b346a62,8cec06e1,RW,21-228,85,24,23,1,0,0,3,0,0,1,0,1,0,19,2,3,21,2,0,0,1,18,1,0,1,2
3,32f60ed8,0b346a62,8cec06e1,"RW,RM",21-199,5,5,4,1,0,0,0,0,0,1,1,0,0,3,1,1,0,4,0,0,1,3,0,0,0,0
4,f5a00fa4,0b346a62,8cec06e1,DM,34-340,65,38,35,3,2,0,1,4,0,1,0,0,1,30,4,4,2,35,1,0,0,33,0,0,1,2
5,5a7301ae,0b346a62,8cec06e1,DM,26-121,25,9,9,0,0,0,1,0,0,0,0,0,0,7,1,1,1,7,0,0,1,9,0,0,0,0
6,44bfb6c5,0b346a62,8cec06e1,DM,24-154,90,44,42,2,1,0,5,5,0,1,0,1,0,32,5,7,4,39,0,0,0,36,0,1,2,2
7,9ae9eaea,0b346a62,8cec06e1,"WB,LB",32-176,90,53,46,7,1,1,2,3,6,0,0,0,0,31,13,9,41,4,1,6,1,43,1,1,0,3
8,9a71e978,0b346a62,8cec06e1,"WB,RB",19-208,90,54,38,16,2,0,1,1,3,0,0,0,0,26,20,8,5,34,1,14,0,44,0,4,3,1
9,9fbbcf39,0b346a62,8cec06e1,CB,31-141,90,57,56,1,0,0,2,1,0,0,0,0,0,35,9,13,47,2,6,1,0,50,0,1,1,1
10,2928dca2,0b346a62,8cec06e1,CB,28-170,90,48,46,2,2,0,2,5,0,0,0,0,0,37,5,6,1,47,0,0,0,42,0,1,1,1
11,d0f72bf1,0b346a62,8cec06e1,CB,24-083,89,59,56,3,3,0,2,9,0,0,0,0,0,44,4,11,42,15,2,0,0,49,1,1,1,1
12,e7aa9d7c,0b346a62,8cec06e1,FW,19-026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,903b6e8b,0b346a62,8cec06e1,GK,28-209,90,20,17,3,0,0,0,1,0,0,0,0,0,11,2,7,1,12,0,0,5,15,0,1,0,0
0,4ab53cdb,4eb36e37,943e8050,FW,32-016,69,13,13,0,0,0,5,0,0,0,0,0,0,8,2,3,0,11,0,0,0,9,0,1,0,0
1,2691c772,4eb36e37,943e8050,FW,31-288,21,3,3,0,0,0,2,0,0,0,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,1
2,4e9a0555,4eb36e37,943e8050,FW,29-250,90,16,16,0,0,0,4,0,0,0,0,0,0,9,3,4,4,7,2,0,0,11,0,1,0,0
3,fc15fb84,4eb36e37,943e8050,LM,21-265,78,24,22,2,0,0,6,1,4,1,1,0,0,13,5,6,23,0,0,1,0,14,0,0,0,4
4,47369df8,4eb36e37,943e8050,"DM,LM",25-238,12,8,8,0,0,0,1,1,1,0,0,0,0,5,0,3,3,4,1,0,0,5,0,1,0,0
5,f72293fc,4eb36e37,943e8050,"RM,LM",30-291,90,19,18,1,0,0,3,2,5,0,0,0,0,11,4,4,16,0,1,1,0,13,0,0,0,0
6,74e12f1e,4eb36e37,943e8050,DM,32-050,84,15,15,0,0,0,4,1,1,0,0,0,0,9,2,4,1,11,1,0,0,9,0,0,1,0
7,0d4ceb32,4eb36e37,943e8050,RM,29-105,6,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
8,495945ef,4eb36e37,943e8050,DM,31-135,90,38,29,9,0,1,6,5,1,6,6,0,0,18,5,15,0,37,1,0,0,24,1,1,2,1
9,cc2d7ad5,4eb36e37,943e8050,LB,27-330,90,53,39,14,1,0,8,1,5,0,0,0,0,19,15,19,36,0,3,13,0,35,0,0,1,3
10,8df7a2fb,4eb36e37,943e8050,CB,31-325,90,30,29,1,1,0,5,1,0,0,0,0,0,21,3,6,19,6,2,0,1,27,0,1,0,0
11,15ea812b,4eb36e37,943e8050,CB,28-268,90,21,21,0,0,0,4,1,0,0,0,0,0,9,4,8,3,12,3,0,0,17,0,1,0,0
12,9a9c05db,4eb36e37,943e8050,RB,32-066,90,43,34,9,0,1,6,1,6,0,0,0,0,16,10,17,3,31,0,9,0,27,0,0,1,3
13,4b40d9ca,4eb36e37,943e8050,GK,29-117,90,21,13,8,4,0,1,1,0,0,0,0,0,12,1,8,1,11,0,0,7,17,0,0,0,0
0,4bcf39f6,4eb36e37,d07537b9,FW,25-000,90,19,17,2,0,0,5,0,0,0,0,0,0,14,2,3,0,15,1,0,2,14,0,0,1,0
1,38ceb24a,4eb36e37,d07537b9,"LM,AM",26-253,75,28,26,2,0,0,6,2,1,0,0,0,0,15,6,7,4,19,1,2,0,19,0,0,2,2
2,83d074ff,4eb36e37,d07537b9,AM,22-233,15,4,4,0,0,0,2,0,0,0,0,0,0,3,0,1,0,3,0,0,0,3,0,0,1,0
3,6c203af0,4eb36e37,d07537b9,"CM,DM",24-349,90,45,43,2,1,1,5,0,0,0,0,0,0,37,4,4,2,41,0,1,0,42,0,0,0,1
4,1d5cab82,4eb36e37,d07537b9,CM,23-225,45,18,18,0,0,0,7,0,1,0,0,0,0,12,3,3,1,14,1,0,0,15,0,0,0,2
5,99813635,4eb36e37,d07537b9,CM,33-096,45,32,31,1,1,0,5,1,0,0,0,0,0,24,3,5,12,18,1,0,0,29,0,1,0,0
6,bb5fbd2b,4eb36e37,d07537b9,"RM,WB",27-025,90,40,36,4,0,0,3,2,1,2,0,2,0,31,1,8,38,0,0,2,0,35,0,0,0,1
7,ad1f61f3,4eb36e37,d07537b9,"DM,CM",22-340,71,38,38,0,0,0,3,2,2,0,0,0,0,28,4,6,2,32,3,0,0,36,0,1,0,1
