,player_id,match_id,team_id,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors
3,49fe9070,a6466617,cff3d9bb,"RW,LW",25-210,90,1,0,0,0,1,0,2,0.0,2,23,4,17.4,4,7,12,4,0,0,4,1,2,1,0
4,79c0821a,a6466617,cff3d9bb,DM,27-149,72,6,5,3,2,1,2,4,50.0,2,22,8,36.4,6,12,4,1,0,0,1,0,6,0,0
5,45db685d,a6466617,cff3d9bb,DM,29-286,18,1,1,0,1,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,1,0
6,e97fd090,a6466617,cff3d9bb,DM,25-252,82,2,0,0,2,0,1,3,33.3,2,16,4,25.0,3,12,1,1,0,0,1,1,3,2,0
7,3a24769f,a6466617,cff3d9bb,DM,27-301,8,0,0,0,0,0,0,1,0.0,1,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
8,d2424d1b,a6466617,cff3d9bb,WB,24-285,90,1,1,1,0,0,0,0,,0,14,5,35.7,7,5,2,0,0,0,0,2,3,0,0
9,53cad200,a6466617,cff3d9bb,WB,32-035,90,3,1,2,1,0,2,3,66.7,1,21,3,14.3,6,13,2,2,0,0,2,0,3,1,0
10,18b896d6,a6466617,cff3d9bb,CB,28-213,90,1,1,1,0,0,0,1,0.0,1,4,3,75.0,2,2,0,3,0,0,3,0,1,3,0
11,86e7deaf,a6466617,cff3d9bb,CB,37-010,90,0,0,0,0,0,0,1,0.0,1,6,3,50.0,2,3,1,2,1,0,1,2,2,7,0
12,5515376c,a6466617,cff3d9bb,CB,22-089,90,6,3,2,4,0,4,5,80.0,1,12,2,16.7,5,6,1,3,1,0,2,0,6,7,0
13,33887998,a6466617,cff3d9bb,GK,29-215,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,ab651565,a6466617,33c895d4,"FW,RW",27-210,86,1,1,0,1,0,0,5,0.0,5,34,6,17.6,1,17,16,1,0,0,1,1,2,1,0
1,68dc0dac,a6466617,33c895d4,RW,27-059,4,0,0,0,0,0,0,0,,0,3,1,33.3,1,2,0,0,0,0,0,0,0,1,0
2,68c720b5,a6466617,33c895d4,FW,24-234,90,0,0,0,0,0,0,0,,0,31,6,19.4,3,12,16,0,0,0,0,1,1,0,0
3,f1e94cd6,a6466617,33c895d4,"LM,LW",22-089,72,2,1,1,1,0,1,4,25.0,3,32,5,15.6,3,17,12,1,0,0,1,1,3,0,0
4,254147d4,a6466617,33c895d4,LW,23-109,18,3,3,2,1,0,1,2,50.0,1,8,5,62.5,5,3,0,0,0,0,0,0,3,0,0
5,1ecb65be,a6466617,33c895d4,RM,32-200,45,0,0,0,0,0,0,0,,0,10,1,10.0,1,5,4,2,0,0,2,0,0,0,0
6,11ff3d56,a6466617,33c895d4,DM,22-208,45,0,0,0,0,0,0,1,0.0,1,21,6,28.6,7,12,2,0,0,0,0,0,0,0,0
7,4b511457,a6466617,33c895d4,"CB,DM",30-008,90,3,1,0,3,0,1,4,25.0,3,21,5,23.8,4,14,3,5,2,0,3,2,5,3,0
8,3515d404,a6466617,33c895d4,DM,26-335,76,2,1,1,0,1,0,5,0.0,5,32,6,18.8,6,15,11,2,0,0,2,1,3,0,0
9,984a5a64,a6466617,33c895d4,"WB,LB",24-172,90,3,2,1,2,0,2,4,50.0,2,19,5,26.3,6,10,3,4,0,0,4,4,7,1,0
10,0b33f6ad,a6466617,33c895d4,CB,22-168,90,4,3,3,1,0,2,2,100.0,0,13,6,46.2,8,5,0,3,1,0,2,5,9,3,0
11,4115ce4e,a6466617,33c895d4,CB,25-173,90,3,1,0,3,0,1,3,33.3,2,14,4,28.6,8,6,0,1,0,0,1,5,8,6,0
12,afed6722,a6466617,33c895d4,"WB,RB",18-324,90,3,2,2,1,0,2,2,100.0,0,20,9,45.0,7,7,6,1,1,0,0,0,3,1,0
13,36c2ca73,a6466617,33c895d4,GK,31-303,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,1fb1c435,be9d8a45,5bfb9659,FW,30-210,90,0,0,0,0,0,0,0,,0,11,5,45.5,0,5,6,0,0,0,0,1,1,1,0
1,c931d9f9,be9d8a45,5bfb9659,LM,23-326,90,0,0,0,0,0,0,1,0.0,1,9,0,0.0,3,3,3,1,0,0,1,3,3,1,0
2,282679b4,be9d8a45,5bfb9659,CM,31-111,89,1,1,0,0,1,1,2,50.0,1,12,4,33.3,1,5,6,0,0,0,0,0,1,1,0
3,f4d296e4,be9d8a45,5bfb9659,CM,22-052,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
4,67ca8566,be9d8a45,5bfb9659,CM,30-166,77,2,0,2,0,0,0,0,,0,10,2,20.0,3,5,2,2,0,0,2,0,2,1,0
5,6c17e046,be9d8a45,5bfb9659,CM,22-263,13,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
6,3423f250,be9d8a45,5bfb9659,RM,24-292,90,1,1,0,1,0,1,1,100.0,0,9,5,55.6,0,5,4,2,0,0,2,2,3,0,0
7,4f565d77,be9d8a45,5bfb9659,DM,25-304,90,3,3,2,0,1,0,0,,0,17,6,35.3,6,8,3,0,0,0,0,2,5,3,0
8,24f59bb2,be9d8a45,5bfb9659,LB,25-041,90,4,2,3,1,0,3,3,100.0,0,15,7,46.7,7,6,2,1,0,0,1,3,7,3,0
9,dc64b8b3,be9d8a45,5bfb9659,CB,30-033,90,0,0,0,0,0,0,0,,0,5,3,60.0,2,3,0,1,1,0,0,2,2,6,0
10,bba30585,be9d8a45,5bfb9659,CB,28-047,90,2,0,1,0,1,1,1,100.0,0,14,9,64.3,8,5,1,0,0,0,0,1,3,2,1
11,8d03ca5a,be9d8a45,5bfb9659,RB,21-359,90,4,3,2,2,0,2,3,66.7,1,10,6,60.0,6,4,0,2,0,0,2,1,5,1,0
12,6b625ac2,be9d8a45,5bfb9659,GK,21-214,90,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,43458538,be9d8a45,2abfe087,FW,29-260,44,0,0,0,0,0,0,0,,0,8,2,25.0,1,4,3,0,0,0,0,0,0,1,0
1,1770bd68,be9d8a45,2abfe087,LW,28-002,46,1,1,1,0,0,0,1,0.0,1,17,5,29.4,7,10,0,0,0,0,0,0,1,2,0
2,2c44a35d,be9d8a45,2abfe087,"FW,LW",23-321,90,1,0,0,0,1,0,0,,0,26,5,19.2,5,6,15,3,1,0,2,0,1,1,0
3,bfdb33aa,be9d8a45,2abfe087,RW,23-219,90,1,0,0,1,0,0,1,0.0,1,18,6,33.3,5,10,3,3,0,0,3,0,1,1,0
4,17d45fb2,be9d8a45,2abfe087,AM,26-193,58,0,0,0,0,0,0,0,,0,7,0,0.0,2,5,0,1,0,0,1,0,0,0,0
5,e8832875,be9d8a45,2abfe087,AM,20-006,32,0,0,0,0,0,0,1,0.0,1,9,1,11.1,2,2,5,0,0,0,0,0,0,0,0
6,2acd49b9,be9d8a45,2abfe087,DM,32-047,90,1,0,1,0,0,1,2,50.0,1,13,3,23.1,8,4,1,3,0,0,3,3,4,2,0
7,5aaef9ef,be9d8a45,2abfe087,DM,34-218,90,3,2,2,1,0,1,3,33.3,2,23,10,43.5,11,11,1,2,1,1,1,2,5,3,1
8,89d10e53,be9d8a45,2abfe087,LB,31-092,90,6,4,3,3,0,2,4,50.0,2,10,6,60.0,4,5,1,3,1,0,2,0,6,4,0
9,0f933743,be9d8a45,2abfe087,CB,24-149,67,0,0,0,0,0,0,0,,0,3,1,33.3,1,2,0,1,0,0,1,3,3,7,0
10,914ab9a1,be9d8a45,2abfe087,CB,30-220,23,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,2,0,0,2,0,0,1,0
11,7ed4921e,be9d8a45,2abfe087,CB,28-031,90,0,0,0,0,0,0,0,,0,3,0,0.0,2,1,0,4,4,0,0,1,1,5,0
12,e5d01ecf,be9d8a45,2abfe087,RB,30-242,90,2,0,1,1,0,2,3,66.7,1,11,2,18.2,9,1,1,2,2,0,0,2,4,4,0
13,d0b3ceb9,be9d8a45,2abfe087,GK,38-182,90,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0
0,4bcf39f6,cdaded7b,d07537b9,FW,25-049,90,1,0,0,0,1,0,0,,0,13,2,15.4,2,6,5,0,0,0,0,2,3,0,0
1,38ceb24a,cdaded7b,d07537b9,"FW,AM",26-302,90,1,0,0,1,0,0,1,0.0,1,16,6,37.5,3,3,10,1,0,0,1,1,2,1,0
2,f230bc30,cdaded7b,d07537b9,CM,22-178,77,1,1,0,1,0,1,1,100.0,0,12,4,33.3,1,7,4,1,0,0,1,0,1,2,0
3,83d074ff,cdaded7b,d07537b9,AM,22-282,13,1,1,0,0,1,0,1,0.0,1,5,1,20.0,1,1,3,1,0,0,1,0,1,0,0
4,8aec0537,cdaded7b,d07537b9,"CM,DM",30-109,83,0,0,0,0,0,0,0,,0,15,1,6.7,4,7,4,2,0,0,2,1,1,0,0
5,bb5fbd2b,cdaded7b,d07537b9,DM,27-074,7,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,0,0,0,0,0,0,0,0
6,99813635,cdaded7b,d07537b9,DM,33-145,90,1,0,0,1,0,1,4,25.0,3,17,7,41.2,7,7,3,1,0,0,1,1,2,2,0
7,1daec722,cdaded7b,d07537b9,WB,23-072,90,6,3,2,3,1,3,3,100.0,0,14,5,35.7,5,7,2,1,0,0,1,1,7,0,0
8,dad4b285,cdaded7b,d07537b9,WB,29-260,90,0,0,0,0,0,0,1,0.0,1,4,2,50.0,0,3,1,2,0,0,2,0,0,1,0
9,b2d31e83,cdaded7b,d07537b9,CB,29-146,90,4,2,2,2,0,2,4,50.0,2,22,10,45.5,8,11,3,4,0,0,4,2,6,1,0
10,282f75f3,cdaded7b,d07537b9,CB,29-315,90,0,0,0,0,0,0,0,,0,8,6,75.0,2,5,1,0,0,0,0,3,3,0,0
11,7314bba4,cdaded7b,d07537b9,CB,29-274,90,0,0,0,0,0,0,2,0.0,2,8,0,0.0,6,2,0,2,0,0,2,2,2,6,0
12,6a713852,cdaded7b,d07537b9,GK,23-318,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,d5dd5f1f,cdaded7b,18bb7c10,FW,32-106,71,0,0,0,0,0,0,0,,0,14,4,28.6,2,5,7,1,0,0,1,0,0,0,0
1,9dbb75ca,cdaded7b,18bb7c10,FW,30-127,19,0,0,0,0,0,0,0,,0,4,0,0.0,1,2,1,0,0,0,0,0,0,0,0
2,17695062,cdaded7b,18bb7c10,"LW,AM",21-066,90,1,0,0,1,0,0,2,0.0,2,9,3,33.3,1,8,0,1,0,0,1,1,2,0,0
3,bc7dc64d,cdaded7b,18bb7c10,"RW,LW",20-027,89,1,1,0,1,0,0,0,,0,17,4,23.5,5,6,6,0,0,0,0,1,2,0,0
4,e3a5814e,cdaded7b,18bb7c10,LW,24-034,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
5,79300479,cdaded7b,18bb7c10,AM,22-289,62,1,0,0,1,0,0,0,,0,15,2,13.3,5,7,3,0,0,0,0,0,1,1,0
6,57e3f0c7,cdaded7b,18bb7c10,"RW,LW",26-126,28,1,1,1,0,0,1,1,100.0,0,3,2,66.7,1,1,1,0,0,0,0,0,1,0,0
7,1b4f1169,cdaded7b,18bb7c10,CM,21-345,90,2,2,1,1,0,0,0,,0,8,5,62.5,6,2,0,3,2,0,1,5,7,4,0
8,529f49ab,cdaded7b,18bb7c10,CM,28-111,90,3,2,1,2,0,0,4,0.0,4,22,4,18.2,13,9,0,3,0,0,3,3,6,1,0
9,fce2302c,cdaded7b,18bb7c10,LB,24-119,90,1,0,1,0,0,1,1,100.0,0,8,0,0.0,4,2,2,3,1,0,2,0,1,3,0
10,67ac5bb8,cdaded7b,18bb7c10,CB,23-287,90,1,1,1,0,0,1,1,100.0,0,5,2,40.0,3,2,0,2,2,0,0,0,1,5,0
11,35e413f1,cdaded7b,18bb7c10,CB,23-359,90,1,1,1,0,0,0,0,,0,5,2,40.0,4,1,0,2,2,0,0,3,4,7,0
12,b3af9be1,cdaded7b,18bb7c10,RB,22-331,90,0,0,0,0,0,0,0,,0,9,1,11.1,4,3,2,4,0,0,4,5,5,4,0
13,466fb2c5,cdaded7b,18bb7c10,GK,23-141,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,21a66f6a,7bb0a43c,361ca564,FW,28-067,90,1,0,0,1,0,1,2,50.0,1,23,9,39.1,0,8,15,0,0,0,0,0,1,2,0
1,92e7e919,7bb0a43c,361ca564,LW,29-087,90,0,0,0,0,0,0,0,,0,4,2,50.0,0,3,1,1,0,0,1,0,0,1,0
2,2b622f01,7bb0a43c,361ca564,RW,29-051,88,0,0,0,0,0,0,0,,0,7,3,42.9,3,2,2,0,0,0,0,0,0,4,0
3,7b5ab7f2,7bb0a43c,361ca564,RW,20-234,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
4,5cdddffa,7bb0a43c,361ca564,AM,24-279,75,0,0,0,0,0,0,0,,0,13,3,23.1,5,4,4,0,0,0,0,0,0,1,0
5,d7553721,7bb0a43c,361ca564,AM,25-177,15,0,0,0,0,0,0,0,,0,4,1,25.0,0,2,2,1,0,0,1,0,0,0,0
6,6250083a,7bb0a43c,361ca564,DM,21-017,90,1,1,0,1,0,1,1,100.0,0,14,3,21.4,4,10,0,0,0,0,0,1,2,1,0
7,8b04d6c1,7bb0a43c,361ca564,DM,26-059,90,2,1,0,2,0,2,2,100.0,0,17,6,35.3,6,8,3,1,0,0,1,2,4,3,0
8,3353737a,7bb0a43c,361ca564,LB,24-291,90,4,0,3,1,0,2,4,50.0,2,14,2,14.3,10,3,1,1,1,0,0,2,6,5,0
9,ac861941,7bb0a43c,361ca564,CB,27-261,90,1,0,1,0,0,0,0,,0,7,3,42.9,4,3,0,5,3,0,2,2,3,11,0
10,a3d94a58,7bb0a43c,361ca564,CB,23-159,90,3,2,1,2,0,1,2,50.0,1,10,4,40.0,6,4,0,2,2,0,0,3,6,11,0
11,df8b52a5,7bb0a43c,361ca564,RB,22-262,90,2,1,1,1,0,1,1,100.0,0,16,6,37.5,8,4,4,3,0,0,3,2,4,7,0
12,8f62b6ee,7bb0a43c,361ca564,GK,34-281,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,07802f7f,7bb0a43c,8602292d,FW,29-072,88,1,0,0,1,0,0,2,0.0,2,15,1,6.7,3,9,3,2,1,0,1,1,2,0,0
1,05e8ca6d,7bb0a43c,8602292d,FW,20-074,2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,1,0
2,aed3a70f,7bb0a43c,8602292d,"FW,LM",25-277,90,0,0,0,0,0,0,0,,0,12,5,41.7,1,6,5,4,0,0,4,0,0,0,0
3,1544f145,7bb0a43c,8602292d,CM,20-128,68,2,1,1,1,0,1,4,25.0,3,24,8,33.3,3,14,7,0,0,0,0,2,4,0,0
4,66b76d44,7bb0a43c,8602292d,CM,24-282,22,0,0,0,0,0,0,1,0.0,1,10,1,10.0,6,4,0,1,0,0,1,0,0,1,0
5,90f91999,7bb0a43c,8602292d,CM,26-350,90,2,1,0,1,1,0,1,0.0,1,22,10,45.5,2,14,6,0,0,0,0,0,2,0,0
6,6f7d826d,7bb0a43c,8602292d,DM,23-147,90,4,2,2,2,0,2,4,50.0,2,27,8,29.6,14,13,0,1,0,0,1,2,6,0,0
7,e514ab62,7bb0a43c,8602292d,"WB,LB",26-015,90,3,1,0,3,0,2,3,66.7,1,17,3,17.6,8,7,2,2,0,0,2,3,6,3,0
8,2389cdc2,7bb0a43c,8602292d,"WB,RB",24-057,90,1,0,0,1,0,1,6,16.7,5,16,1,6.3,2,10,4,2,0,0,2,1,2,0,0
9,8397a50c,7bb0a43c,8602292d,CB,28-204,90,2,0,0,1,1,0,1,0.0,1,14,3,21.4,3,9,2,4,2,1,2,2,4,8,0
10,bf8fad51,7bb0a43c,8602292d,CB,26-079,79,1,1,0,0,1,1,1,100.0,0,14,6,42.9,4,9,1,2,1,0,1,5,6,8,0
11,c47541e0,7bb0a43c,8602292d,"CB,RM",26-027,11,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
12,0313a347,7bb0a43c,8602292d,CB,23-345,90,2,0,1,1,0,0,1,0.0,1,10,2,20.0,6,2,2,1,1,0,0,6,8,1,0
13,7956236f,7bb0a43c,8602292d,GK,29-031,90,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,0562b7f1,b06fd537,47c64c55,FW,23-260,84,0,0,0,0,0,0,2,0.0,2,26,5,19.2,0,13,13,2,0,0,2,0,0,0,0
1,ab070c55,b06fd537,47c64c55,FW,30-304,6,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
2,b2bc3b1f,b06fd537,47c64c55,LW,28-327,90,3,3,1,2,0,1,1,100.0,0,24,7,29.2,3,15,6,1,0,0,1,2,5,0,0
3,da052c14,b06fd537,47c64c55,RW,30-022,52,1,1,0,1,0,0,1,0.0,1,21,6,28.6,1,7,13,2,0,0,2,1,2,0,0
4,c4486bac,b06fd537,47c64c55,RW,19-295,38,0,0,0,0,0,0,0,,0,9,5,55.6,2,3,4,0,0,0,0,1,1,0,0
5,cee31595,b06fd537,47c64c55,CM,33-361,90,3,3,1,2,0,2,5,40.0,3,29,12,41.4,5,21,3,2,0,0,2,5,8,2,0
6,c2731c10,b06fd537,47c64c55,CM,21-239,70,2,2,1,1,0,0,2,0.0,2,17,7,41.2,3,11,3,0,0,0,0,0,2,0,0
7,3312f911,b06fd537,47c64c55,CM,28-284,20,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,0,0,0,0,0,0,0,0
8,2ce2508a,b06fd537,47c64c55,DM,30-179,90,1,1,0,1,0,1,2,50.0,1,16,5,31.3,5,9,2,1,0,0,1,1,2,2,0
9,5cbd1eb0,b06fd537,47c64c55,LB,22-032,90,6,4,0,6,0,2,5,40.0,3,38,13,34.2,7,26,5,3,1,0,2,2,8,0,0
10,d0706b27,b06fd537,47c64c55,CB,21-082,90,0,0,0,0,0,0,0,,0,10,4,40.0,4,6,0,1,0,0,1,2,2,8,0
11,e34fc66d,b06fd537,47c64c55,CB,25-125,90,1,1,1,0,0,1,1,100.0,0,4,2,50.0,0,4,0,0,0,0,0,5,6,11,1
12,8a7ff278,b06fd537,47c64c55,RB,31-339,90,2,2,1,1,0,0,0,,0,19,8,42.1,7,7,5,3,1,0,2,3,5,8,0
13,ab13a5aa,b06fd537,47c64c55,GK,34-266,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,45963054,b06fd537,a2d435b3,FW,34-265,90,0,0,0,0,0,0,0,,0,12,3,25.0,3,7,2,0,0,0,0,0,0,0,0
1,c92e1a31,b06fd537,a2d435b3,FW,25-000,70,3,2,1,2,0,1,2,50.0,1,15,5,33.3,1,9,5,1,0,0,1,0,3,0,0
2,ee38d9c5,b06fd537,a2d435b3,FW,24-314,20,0,0,0,0,0,0,1,0.0,1,8,0,0.0,1,7,0,1,0,0,1,0,0,0,0
3,3ea50f67,b06fd537,a2d435b3,LM,23-298,90,1,0,1,0,0,0,2,0.0,2,12,2,16.7,7,5,0,1,1,0,0,1,2,1,0
4,7c104bb7,b06fd537,a2d435b3,RM,23-348,79,4,4,0,4,0,2,2,100.0,0,21,9,42.9,5,13,3,1,0,0,1,2,6,0,0
5,b827d5b3,b06fd537,a2d435b3,RM,31-319,11,1,0,1,0,0,0,1,0.0,1,7,4,57.1,4,3,0,0,0,0,0,0,1,0,0
6,56f7a928,b06fd537,a2d435b3,DM,24-149,90,0,0,0,0,0,0,4,0.0,4,12,3,25.0,3,8,1,3,1,0,2,0,0,3,0
7,7d2d3329,b06fd537,a2d435b3,DM,24-002,59,4,1,0,4,0,2,2,100.0,0,16,2,12.5,0,13,3,1,0,0,1,6,10,2,0
8,ae59b359,b06fd537,a2d435b3,DM,22-218,31,0,0,0,0,0,0,0,,0,5,0,0.0,4,1,0,0,0,0,0,4,4,0,0
9,01226327,b06fd537,a2d435b3,LB,32-059,90,3,2,0,2,1,1,1,100.0,0,25,8,32.0,14,8,3,3,2,0,1,2,5,2,0
10,1900032e,b06fd537,a2d435b3,CB,29-061,90,4,2,4,0,0,2,4,50.0,2,8,3,37.5,7,1,0,1,0,0,1,4,8,10,1
11,21166ff4,b06fd537,a2d435b3,CB,25-133,90,5,4,5,0,0,1,1,100.0,0,10,6,60.0,10,0,0,0,0,0,0,3,8,3,0
12,197640fd,b06fd537,a2d435b3,RB,25-302,90,5,4,2,3,0,1,4,25.0,3,32,11,34.4,12,20,0,4,1,0,3,5,10,7,0
13,53af52f3,b06fd537,a2d435b3,GK,34-332,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,ac05f970,f1eead63,7c21e445,FW,31-189,90,0,0,0,0,0,0,0,,0,9,4,44.4,2,3,4,1,0,0,1,2,2,0,0
1,82927de4,f1eead63,7c21e445,LW,25-223,90,1,0,0,1,0,1,3,33.3,2,19,6,31.6,3,7,9,2,0,0,2,1,2,1,0
2,79c84d1c,f1eead63,7c21e445,RW,24-287,90,2,0,2,0,0,0,0,,0,11,3,27.3,2,4,5,2,0,0,2,0,2,0,0
3,5a04fd92,f1eead63,7c21e445,AM,26-054,90,1,1,0,1,0,1,2,50.0,1,7,5,71.4,2,4,1,1,0,0,1,1,2,0,0
4,1c7012b8,f1eead63,7c21e445,DM,22-262,90,3,2,0,2,1,0,0,,0,8,2,25.0,0,5,3,3,2,0,1,7,10,3,0
5,6613c819,f1eead63,7c21e445,DM,26-218,90,2,2,0,2,0,1,3,33.3,2,17,7,41.2,4,9,4,3,0,0,3,2,4,2,0
6,4f974391,f1eead63,7c21e445,LB,31-292,90,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,1,1,0,0,2,2,1,0
7,74b2cd7e,f1eead63,7c21e445,CB,33-133,90,2,1,0,2,0,0,1,0.0,1,8,3,37.5,4,4,0,0,0,0,0,2,4,8,0
8,ce4246f5,f1eead63,7c21e445,CB,26-341,90,0,0,0,0,0,0,1,0.0,1,4,2,50.0,2,1,1,1,1,0,0,5,5,3,0
9,fdf3cb77,f1eead63,7c21e445,RB,29-042,90,3,1,0,2,1,1,1,100.0,0,12,4,33.3,2,8,2,3,0,0,3,1,4,1,0
10,9328b835,f1eead63,7c21e445,GK,36-168,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,e09f279b,f1eead63,cd051869,FW,25-201,90,1,1,0,1,0,0,0,,0,6,3,50.0,1,1,4,0,0,0,0,0,1,4,0
1,6afaebf2,f1eead63,cd051869,FW,22-057,81,0,0,0,0,0,0,0,,0,9,0,0.0,1,5,3,3,1,0,2,0,0,1,0
2,2500cef9,f1eead63,cd051869,FW,25-030,9,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3,2944f86f,f1eead63,cd051869,CM,23-275,80,2,1,1,1,0,1,2,50.0,1,17,6,35.3,6,11,0,3,1,0,2,1,3,2,0
4,407db0d5,f1eead63,cd051869,CM,20-220,10,1,0,1,0,0,0,0,,0,3,2,66.7,0,3,0,0,0,0,0,0,1,0,0
5,2886c9b5,f1eead63,cd051869,CM,23-178,28,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0
6,0f134faf,f1eead63,cd051869,CM,25-275,62,3,3,2,1,0,2,2,100.0,0,24,8,33.3,8,10,6,3,0,0,3,0,3,1,0
7,df0a4c90,f1eead63,cd051869,DM,27-207,90,0,0,0,0,0,0,2,0.0,2,18,7,38.9,11,6,1,3,1,0,2,2,2,3,0
8,8a3c1dc7,f1eead63,cd051869,WB,24-087,90,1,1,0,0,1,0,0,,0,13,5,38.5,3,6,4,6,2,0,4,2,3,1,0
9,1137759d,f1eead63,cd051869,WB,24-243,90,1,0,1,0,0,0,0,,0,17,0,0.0,7,10,0,1,0,0,1,0,1,2,0
10,e541326e,f1eead63,cd051869,CB,28-127,90,0,0,0,0,0,0,1,0.0,1,11,2,18.2,9,2,0,3,1,0,2,2,2,9,0
11,172e52d8,f1eead63,cd051869,CB,30-232,90,1,0,1,0,0,0,1,0.0,1,7,2,28.6,6,1,0,0,0,0,0,2,3,5,0
12,0db5d2c8,f1eead63,cd051869,CB,31-163,90,1,0,1,0,0,1,1,100.0,0,9,2,22.2,8,1,0,5,1,0,4,1,2,0,0
13,98ea5115,f1eead63,cd051869,GK,26-018,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,178ae8f8,2598b046,822bd0ba,FW,24-303,67,0,0,0,0,0,0,1,0.0,1,26,3,11.5,3,9,14,0,0,0,0,1,1,0,0
1,4c370d81,2598b046,822bd0ba,FW,30-001,23,1,1,0,1,0,0,0,,0,6,1,16.7,1,2,3,0,0,0,0,0,1,0,0
2,c691bfe2,2598b046,822bd0ba,LW,29-176,90,0,0,0,0,0,0,0,,0,18,5,27.8,3,7,8,1,0,0,1,1,1,0,0
3,e342ad68,2598b046,822bd0ba,RW,29-110,90,3,1,2,0,1,2,4,50.0,2,33,12,36.4,9,7,17,1,0,0,1,2,5,0,0
4,4fb9c88f,2598b046,822bd0ba,CM,20-246,90,1,1,0,1,0,0,0,,0,33,5,15.2,5,23,5,0,0,0,0,0,1,0,0
5,935e6b8f,2598b046,822bd0ba,CM,31-108,90,2,1,0,1,1,1,4,25.0,3,36,10,27.8,4,26,6,2,0,0,2,3,5,1,0
6,7f3b388c,2598b046,822bd0ba,DM,27-345,90,0,0,0,0,0,0,3,0.0,3,19,4,21.1,6,10,3,2,0,0,2,1,1,0,0
7,2e4f5f03,2598b046,822bd0ba,LB,27-206,90,2,1,0,1,1,0,0,,0,15,3,20.0,1,10,4,3,1,0,2,3,5,4,0
8,e06683ca,2598b046,822bd0ba,CB,30-087,90,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,2,1,0,1,0,0,3,0
9,b217ef29,2598b046,822bd0ba,CB,30-056,90,3,3,1,2,0,2,2,100.0,0,8,3,37.5,2,4,2,4,3,0,1,3,6,1,0
10,2f90f6b8,2598b046,822bd0ba,RB,35-272,77,1,0,0,1,0,0,0,,0,9,2,22.2,3,6,0,4,1,0,3,2,3,2,0
11,7a11550b,2598b046,822bd0ba,RB,24-133,13,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0
12,7a2e46a8,2598b046,822bd0ba,GK,29-001,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,b0b4fd3e,2598b046,b8fd03ef,FW,26-023,65,0,0,0,0,0,0,0,,0,12,4,33.3,1,6,5,1,1,0,0,0,0,0,0
1,b400bde0,2598b046,b8fd03ef,FW,26-299,25,1,0,0,1,0,0,0,,0,7,1,14.3,0,5,2,0,0,0,0,0,1,0,0
2,ed1e53f3,2598b046,b8fd03ef,LW,21-128,90,0,0,0,0,0,0,0,,0,19,4,21.1,5,8,6,3,0,0,3,2,2,0,0
