,player_id,match_id,team_id,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
12,4b40d9ca,94d9dac0,943e8050,GK,29-124,90,13,37,35.1,784,703,0,0,,0,1,0.0,13,36,36.1,0,0.0,0,2,0,0,0
0,07802f7f,662d4074,8602292d,FW,29-029,89,6,12,50.0,76,29,3,7,42.9,2,2,100.0,0,2,0.0,0,0.0,0,1,0,0,2
1,bfae110f,662d4074,8602292d,FW,24-268,1,2,2,100.0,19,10,2,2,100.0,0,0,,0,0,,0,0.0,0,0,0,0,1
2,ffa90327,662d4074,8602292d,LW,26-110,90,12,14,85.7,180,43,8,8,100.0,4,5,80.0,0,0,,0,0.0,0,0,2,1,2
3,66b76d44,662d4074,8602292d,RW,24-239,85,22,33,66.7,405,126,11,15,73.3,7,7,100.0,4,8,50.0,0,0.1,3,2,3,1,5
4,19f4d211,662d4074,8602292d,RW,19-095,5,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0
5,1544f145,662d4074,8602292d,CM,20-085,90,19,22,86.4,457,93,6,6,100.0,5,8,62.5,7,7,100.0,0,0.0,0,5,0,0,3
6,90f91999,662d4074,8602292d,CM,26-307,90,28,35,80.0,664,257,8,8,100.0,14,18,77.8,5,8,62.5,0,0.1,3,7,0,0,5
7,6f7d826d,662d4074,8602292d,DM,23-104,87,26,28,92.9,573,96,7,7,100.0,11,12,91.7,8,9,88.9,0,0.0,0,1,0,0,3
8,2baec6ce,662d4074,8602292d,DM,23-280,3,1,1,100.0,35,0,0,0,,0,0,,1,1,100.0,0,0.0,0,0,0,0,0
9,be927d03,662d4074,8602292d,LB,36-043,90,39,52,75.0,786,317,16,22,72.7,16,19,84.2,7,10,70.0,0,0.0,0,5,2,0,8
10,8397a50c,662d4074,8602292d,CB,28-161,90,32,41,78.0,744,285,9,10,90.0,17,19,89.5,6,10,60.0,1,0.1,1,2,1,0,3
11,0313a347,662d4074,8602292d,CB,23-302,90,24,30,80.0,507,142,6,6,100.0,16,19,84.2,2,4,50.0,0,0.2,1,1,0,0,0
12,2389cdc2,662d4074,8602292d,RB,24-014,90,28,40,70.0,576,226,8,8,100.0,17,19,89.5,3,13,23.1,0,0.0,0,1,0,0,2
13,7956236f,662d4074,8602292d,GK,28-353,90,15,23,65.2,562,351,2,2,100.0,5,5,100.0,8,16,50.0,0,0.0,0,0,0,0,0
0,2b16cb1a,662d4074,b2b47a98,"FW,RM",24-162,90,17,22,77.3,282,37,8,9,88.9,7,10,70.0,2,2,100.0,0,0.0,0,1,1,0,1
1,c596fcb0,662d4074,b2b47a98,FW,29-175,90,4,4,100.0,47,9,3,3,100.0,1,1,100.0,0,0,,0,0.0,1,0,0,0,0
2,862a1c15,662d4074,b2b47a98,"CM,LM",27-192,90,19,25,76.0,332,64,9,9,100.0,9,12,75.0,1,3,33.3,0,0.1,1,3,0,0,2
3,a3b03921,662d4074,b2b47a98,"CM,DM",22-001,89,13,23,56.5,176,59,8,12,66.7,5,8,62.5,0,2,0.0,0,0.0,1,1,0,0,2
4,d56543a0,662d4074,b2b47a98,DM,27-178,1,1,3,33.3,9,0,1,1,100.0,0,2,0.0,0,0,,0,0.0,0,0,0,0,0
5,c951a6df,662d4074,b2b47a98,DM,26-152,45,8,11,72.7,130,14,3,5,60.0,4,4,100.0,1,2,50.0,0,0.0,0,0,0,0,0
6,a2b105e0,662d4074,b2b47a98,DM,23-295,45,23,25,92.0,496,64,7,7,100.0,11,11,100.0,5,7,71.4,0,0.0,0,2,0,0,2
7,71ef519e,662d4074,b2b47a98,"WB,LB",31-345,90,46,55,83.6,1156,593,14,14,100.0,19,21,90.5,13,20,65.0,0,0.2,4,4,1,1,6
8,de112b84,662d4074,b2b47a98,"WB,RB",26-178,90,20,34,58.8,432,76,6,8,75.0,11,19,57.9,3,6,50.0,0,0.0,0,0,2,0,2
9,f25b010f,662d4074,b2b47a98,CB,32-181,77,37,42,88.1,817,267,11,12,91.7,20,21,95.2,6,9,66.7,0,0.3,1,2,0,0,0
10,c17bfb65,662d4074,b2b47a98,FW,25-007,13,6,6,100.0,73,5,4,4,100.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
11,450ab6fc,662d4074,b2b47a98,CB,27-283,90,35,41,85.4,764,102,9,12,75.0,17,19,89.5,8,9,88.9,0,0.0,0,1,0,0,1
12,c8aa95da,662d4074,b2b47a98,CB,29-244,90,42,53,79.2,1148,447,8,9,88.9,21,22,95.5,13,21,61.9,0,0.0,0,5,1,1,1
13,19e50035,662d4074,b2b47a98,GK,24-170,90,15,30,50.0,289,88,2,2,100.0,10,10,100.0,2,17,11.8,0,0.0,0,0,0,0,0
0,9e1035f8,ab6db0d6,b8fd03ef,FW,21-173,60,12,15,80.0,186,15,6,8,75.0,4,5,80.0,1,1,100.0,0,0.0,0,0,0,0,0
1,b400bde0,ab6db0d6,b8fd03ef,FW,26-256,30,8,9,88.9,104,2,4,5,80.0,3,3,100.0,0,0,,0,0.0,0,0,0,0,0
2,b0b4fd3e,ab6db0d6,b8fd03ef,LW,25-345,74,42,48,87.5,612,116,26,27,96.3,15,17,88.2,1,2,50.0,0,0.0,1,1,4,0,7
3,892d5bb1,ab6db0d6,b8fd03ef,RW,30-181,16,8,8,100.0,158,51,4,4,100.0,3,3,100.0,1,1,100.0,0,0.0,1,0,0,0,1
4,b66315ae,ab6db0d6,b8fd03ef,"RW,LW",24-140,90,67,74,90.5,1026,191,36,39,92.3,27,30,90.0,2,2,100.0,2,0.6,2,2,0,0,7
5,819b3158,ab6db0d6,b8fd03ef,CM,30-301,68,47,53,88.7,715,96,29,29,100.0,12,12,100.0,5,10,50.0,0,0.2,2,1,0,0,0
6,dc7f8a28,ab6db0d6,b8fd03ef,CM,19-107,22,13,15,86.7,162,8,10,10,100.0,2,3,66.7,1,2,50.0,0,0.0,0,0,1,0,1
7,3eb22ec9,ab6db0d6,b8fd03ef,CM,27-011,90,46,55,83.6,755,44,26,30,86.7,12,13,92.3,7,8,87.5,0,0.0,0,1,3,0,3
